[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
145,-112.920000,0.150000,B2(15),,55,-103.280000,6.810000,,,,,,,,,,,,,0.169,5.522
145,-113.350000,-0.700000,B2(15),,55,-105.590000,5.700000,,,,,,,,,,,,,0.164,3.904
145,-114.360000,-0.460000,B2(15),,55,-105.190000,4.840000,,,,,,,,,,,,,0.258,3.642
145,-114.560000,0.100000,B2(15),,55,-105.650000,2.580000,,,,,,,,,,,,,0.125,3.600
145,-113.580000,-0.370000,B2(15),,55,-106.140000,2.950000,,,,,,,,,,,,,0.139,2.575
145,-114.030000,-0.520000,B2(15),,55,-106.150000,5.150000,,,,,,,,,,,,,0.149,3.113
,,,,,,,,,,,,,,Upload Start Request,,,,,,,
145,-115.290000,-0.260000,B2(15),NR NSA,55,-105.970000,4.820000,,,,,,,,,,,,,0.099,3.119
,,,,,,,,,,,,,,Upload Started,,,,,,,
145,-114.720000,-0.980000,B2(15),NR NSA,55,-103.950000,5.860000,,,,,,,,,,,,,0.102,3.416
145,-114.930000,-1.320000,B2(15),NR NSA,55,-103.820000,6.620000,,,,,,,,,,,,,0.121,3.416
145,-114.800000,-1.190000,B2(15),NR NSA,55,-104.030000,5.130000,,,,,,,,,,,,,0.140,3.904
145,-113.650000,-0.660000,B2(15),NR NSA,55,-104.010000,5.550000,,,,,,,,,,,,,0.109,2.712
145,-112.420000,-0.300000,B2(15),NR NSA,55,-105.290000,4.720000,,,,,,,,,,,,,0.218,3.953
145,-112.350000,-0.920000,B2(15),NR NSA,55,-105.200000,4.420000,,,,,,,,,,,,,0.151,4.377
145,-112.010000,-0.220000,B2(15),NR NSA,55,-103.420000,5.030000,,,,,,,,,,,,,0.136,4.010
145,-111.670000,-0.160000,B2(15),NR NSA,55,-103.400000,4.750000,,,,,,,,,,,,,0.115,2.193
145,-112.620000,-1.590000,B2(15),NR NSA,55,-103.290000,4.420000,,,,,,,,,,,,,0.162,2.824
145,-113.310000,-0.910000,B2(15),NR NSA,55,-105.200000,4.740000,,,,,,,,,,,,,0.127,3.398
145,-113.480000,-0.680000,B2(15),NR NSA,55,-104.860000,5.010000,,,,,,,,,,,,,0.192,2.345
145,-113.180000,-0.220000,B2(15),NR NSA,55,-101.880000,6.490000,,,,,,,,,,,,,0.143,2.201
145,-113.500000,1.200000,B2(15),NR NSA,55,-102.080000,5.540000,,,,,,,,,,,,,0.112,1.894
145,-113.770000,0.320000,B2(15),NR NSA,55,-103.350000,3.830000,,,,,,,,,,,,,0.193,2.166
145,-113.420000,0.560000,B2(15),NR NSA,55,-102.890000,6.370000,,,,,,,,,,,,,0.088,1.608
145,-113.310000,-0.850000,B2(15),NR NSA,55,-101.560000,6.120000,,,,,,,,,,,,,0.119,1.881
145,-113.710000,-1.410000,B2(15),NR NSA,55,-104.150000,4.310000,,,,,,,,,,,,,0.112,1.993
145,-112.000000,-0.490000,B2(15),NR NSA,55,-107.650000,4.050000,,,,,,,,,,,,,0.068,1.350
145,-111.750000,2.170000,B2(15),NR NSA,55,-104.580000,6.710000,,,,,,,,,,,,,0.158,2.365
145,-111.430000,2.230000,B2(15),NR NSA,55,-103.980000,5.670000,,,,,,,,,,,,,0.094,1.857
145,-113.090000,1.950000,B2(15),NR NSA,55,-104.220000,5.780000,,,,,,,,,,,,,0.079,1.591
145,-114.140000,1.690000,B2(15),NR NSA,55,-104.130000,7.100000,,,,,,,,,,,,,0.108,1.906
145,-113.880000,-0.280000,B2(15),NR NSA,55,-104.740000,3.880000,,,,,,,,,,,,,0.092,1.825
145,-113.320000,-1.470000,B2(15),NR NSA,55,-110.410000,1.140000,,,,,,,,,,,,,0.094,1.923
145,-113.610000,0.280000,B2(15),NR NSA,55,-112.020000,1.680000,,,,,,,,,,,,,0.113,1.378
145,-114.150000,0.890000,B2(15),NR NSA,55,-106.250000,6.290000,,,,,,,,,,,,,0.128,2.388
145,-114.600000,-0.710000,B2(15),NR NSA,55,-105.240000,7.410000,,,,,,,,,,,,,0.122,2.222
145,-113.840000,-0.550000,B2(15),NR NSA,55,-106.160000,5.960000,,,,,,,,,,,,,0.101,2.198
145,-112.590000,0.110000,B2(15),NR NSA,55,-105.610000,6.140000,,,,,,,,,,,,,0.154,2.691
145,-113.460000,0.500000,B2(15),NR NSA,55,-102.300000,6.260000,,,,,,,,,,,,,0.175,3.009
145,-112.960000,0.690000,B2(15),NR NSA,55,-104.480000,3.070000,,,,,,,,,,,,,0.132,2.521
,,,,,,,,,,,,,,Upload End Request,,,,,,,
,,,,,,,,,,,,,,Upload Ended,,,,,,,
145,-113.850000,0.720000,B2(15),NR NSA,55,-105.680000,4.850000,,,,,,,,,,,,,0.120,2.491
145,-113.330000,-0.200000,B2(15),,55,-104.100000,5.280000,,,,,,,,,,,,,0.132,2.394
145,-113.990000,-0.190000,B2(15),,55,-105.640000,5.220000,,,,,,,,,,,,,0.154,2.385
145,-113.510000,0.040000,B2(15),,55,-107.010000,3.540000,,,,,,,,,,,,,0.116,2.109
145,-114.690000,1.110000,B2(15),,55,-103.610000,9.720000,,,,,,,,,,,,,0.105,1.642
145,-115.400000,1.240000,B2(15),,55,-100.210000,10.110000,,,,,,,,,,,,,0.277,2.194
145,-112.840000,1.510000,B2(15),,55,-100.710000,7.840000,,,,,,,,,,,,,0.094,1.561
145,-113.860000,-0.150000,B2(15),,55,-102.890000,3.650000,,,,,,,,,,,,,0.079,1.369
145,-113.970000,-0.650000,B2(15),,55,-104.940000,3.840000,,,,,,,,,,,,,0.106,1.672
