IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
28,1,,,-121.9331898,47.5260679,2025-12-11 00:00:44.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.920900,On,Connected,-56.000000,2447,52,,,,IWLAN
29,1,,,-121.9331898,47.5260679,2025-12-11 00:00:45.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,3.920900,On,Connected,-56.000000,2447,52,,,,IWLAN
30,1,,,-121.9331898,47.5260679,2025-12-11 00:00:46.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.920900,On,Connected,-56.000000,2447,52,,,,IWLAN
31,1,,,-121.9331898,47.5260679,2025-12-11 00:00:47.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,3.920900,,Connected,,,,,,,
32,1,,,-121.9331898,47.5260679,2025-12-11 00:00:48.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.920900,On,Connected,-56.000000,2447,52,,,,IWLAN
33,1,,,-121.9331898,47.5260679,2025-12-11 00:00:49.567,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-109.393229,,,,,,,,,,
34,1,,,-121.9331898,47.5260679,2025-12-11 00:00:49.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
35,1,,,-121.9331898,47.5260679,2025-12-11 00:00:50.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Connected,,,,,,,
36,1,,,-121.9331898,47.5260679,2025-12-11 00:00:51.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
37,1,,,-121.9331898,47.5260679,2025-12-11 00:00:52.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
38,1,,,-121.9331898,47.5260679,2025-12-11 00:00:53.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
39,1,,,-121.9331898,47.5260679,2025-12-11 00:00:54.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
40,1,,,-121.9331898,47.5260679,2025-12-11 00:00:55.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
41,1,,,-121.9331898,47.5260679,2025-12-11 00:00:56.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
42,1,,,-121.9331898,47.5260679,2025-12-11 00:00:57.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
43,1,,,-121.9331898,47.5260679,2025-12-11 00:00:58.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
44,1,,,-121.9331898,47.5260679,2025-12-11 00:00:59.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
45,1,,,-121.9331898,47.5260679,2025-12-11 00:01:00.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
46,1,,,-121.9331898,47.5260679,2025-12-11 00:01:01.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
47,1,,,-121.9331898,47.5260679,2025-12-11 00:01:02.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
48,1,,,-121.9331898,47.5260679,2025-12-11 00:01:03.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,3.935417,On,Connected,-56.000000,2447,52,,,,IWLAN
49,1,,,-121.9331898,47.5260679,2025-12-11 00:01:03.759,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-112.880859,,,,,,,,,,
50,1,,,-121.9331898,47.5260679,2025-12-11 00:01:04.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
51,1,,,-121.9331898,47.5260679,2025-12-11 00:01:05.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
52,1,,,-121.9331898,47.5260679,2025-12-11 00:01:06.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
53,1,,,-121.9331898,47.5260679,2025-12-11 00:01:07.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
54,1,,,-121.9331898,47.5260679,2025-12-11 00:01:08.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
55,1,,,-121.9331898,47.5260679,2025-12-11 00:01:09.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
56,1,,,-121.9331898,47.5260679,2025-12-11 00:01:10.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
57,1,,,-121.9331898,47.5260679,2025-12-11 00:01:11.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
58,1,,,-121.9331898,47.5260679,2025-12-11 00:01:12.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
59,1,,,-121.9331898,47.5260679,2025-12-11 00:01:13.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
60,1,,,-121.9331898,47.5260679,2025-12-11 00:01:14.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
61,1,,,-121.9331898,47.5260679,2025-12-11 00:01:15.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
62,1,,,-121.9331898,47.5260679,2025-12-11 00:01:16.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,4.014620,On,Connected,-56.000000,2447,52,,,,IWLAN
63,1,,,-121.9331898,47.5260679,2025-12-11 00:01:17.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
64,1,,,-121.9331898,47.5260679,2025-12-11 00:01:17.503,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.955078,,,,,,,,,,
65,1,,,-121.9331898,47.5260679,2025-12-11 00:01:18.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
66,1,,,-121.9331898,47.5260679,2025-12-11 00:01:19.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
67,1,,,-121.9331898,47.5260679,2025-12-11 00:01:20.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
68,1,,,-121.9331898,47.5260679,2025-12-11 00:01:21.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
69,1,,,-121.9331898,47.5260679,2025-12-11 00:01:22.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
70,1,,,-121.9331898,47.5260679,2025-12-11 00:01:23.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,
71,1,,,-121.9331898,47.5260679,2025-12-11 00:01:24.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,2.824901,On,Connected,-56.000000,2447,52,,,,IWLAN
72,1,,,-121.9331898,47.5260679,2025-12-11 00:01:25.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,2.824901,On,Connected,-56.000000,2447,52,,,,IWLAN
73,1,,,-121.9331898,47.5260679,2025-12-11 00:01:26.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,2.824901,On,Connected,-56.000000,2447,52,,,,IWLAN
74,1,,,-121.9331898,47.5260679,2025-12-11 00:01:27.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,2.824901,On,Connected,-56.000000,2447,52,,,,IWLAN
75,1,,,-121.9331898,47.5260679,2025-12-11 00:01:28.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,2.824901,On,Connected,-56.000000,2447,52,,,,
76,1,,,-121.9331898,47.5260679,2025-12-11 00:01:29.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,2.824901,On,Connected,-56.000000,2447,52,,,,IWLAN
77,1,,,-121.9331898,47.5260679,2025-12-11 00:01:30.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
78,1,,,-121.9331898,47.5260679,2025-12-11 00:01:31.675,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.455469,,,,,,,,,,
79,1,,,-121.9331898,47.5260679,2025-12-11 00:01:31.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
80,1,,,-121.9331898,47.5260679,2025-12-11 00:01:32.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,
81,1,,,-121.9331898,47.5260679,2025-12-11 00:01:33.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
82,1,,,-121.9331898,47.5260679,2025-12-11 00:01:34.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-56.000000,2447,52,,,,IWLAN
83,1,,,-121.9331898,47.5260679,2025-12-11 00:01:35.000,_20251210_160012_CH03_TMO_5GNR_WFC-MO_DUT-1_TC152-1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,,On,Connected,-56.000000,2447,52,,,,IWLAN
