IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
25,1,,,-121.9331898,47.5260679,2025-12-11 22:54:48.191,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
26,1,,,-121.9331898,47.5260679,2025-12-11 22:54:48.162,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP,,,,,
27,1,,,-121.9331898,47.5260679,2025-12-11 22:54:48.162,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP 200Ok,,,,,
28,1,,,-121.9331898,47.5260679,2025-12-11 22:54:48.162,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP ACK,,,,,
29,1,,,-121.9331898,47.5260679,2025-12-11 22:54:48.162,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after First Rx RTP,,,,,
30,1,,,-121.9331898,47.5260679,2025-12-11 22:54:48.171,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after First Tx RTP,,,,,
31,1,,,-121.9331898,47.5260679,2025-12-11 22:54:49.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-94.180000,,,,,,,NR SA,,,,,,,,,,,,,,,,
32,1,,,-121.9331898,47.5260679,2025-12-11 22:54:50.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-96.990000,,,,,,,NR SA,,,,,,,,,,,,,,,,
33,1,,,-121.9331898,47.5260679,2025-12-11 22:54:51.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-96.670000,,,,,,,NR SA,,,,,,,,,,,,,,,,
34,1,,,-121.9331898,47.5260679,2025-12-11 22:54:52.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.620000,,,,,,,NR SA,,,,,,,,,,,,,,,,
35,1,,,-121.9331898,47.5260679,2025-12-11 22:54:53.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-97.300000,,,,,,,NR SA,,,,,,,,,,,,,,,,
36,1,,,-121.9331898,47.5260679,2025-12-11 22:54:54.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-99.020000,,,,,,,NR SA,,,,,,,,,,,,,,,,
37,1,,,-121.9331898,47.5260679,2025-12-11 22:54:55.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.920000,,,,,,,NR SA,,,,,,,,,,,,,,,,
38,1,,,-121.9331898,47.5260679,2025-12-11 22:54:56.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.750000,,,,,,,NR SA,,,,,,,,,,,,,,,,
39,1,,,-121.9331898,47.5260679,2025-12-11 22:54:57.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-105.020000,,,,,,,NR SA,,,,,,,,,,,,,,,,
40,1,,,-121.9331898,47.5260679,2025-12-11 22:54:58.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-104.130000,,,,,,,NR SA,,,,,,,,,,,,,,,,
41,1,,,-121.9331898,47.5260679,2025-12-11 22:54:59.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.010000,,,,,,,NR SA,,,,,,,,,,,,,,,,
42,1,,,-121.9331898,47.5260679,2025-12-11 22:55:00.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-100.070000,,,,,,,NR SA,,,,,,,,,,,,,,,,
43,1,,,-121.9331898,47.5260679,2025-12-11 22:55:01.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-99.410000,,,,,,,NR SA,,,,,,,,,,,,,,,,
44,1,,,-121.9331898,47.5260679,2025-12-11 22:55:02.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-98.850000,,,,,,,NR SA,,,,,,,,,,,,,,,,
45,1,,,-121.9331898,47.5260679,2025-12-11 22:55:03.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-97.740000,,,,,,,NR SA,,,,,,,,,,,,,,,,
46,1,,,-121.9331898,47.5260679,2025-12-11 22:55:04.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.970000,,,,,,,NR SA,,,,,,,,,,,,,,,,
47,1,,,-121.9331898,47.5260679,2025-12-11 22:55:05.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.370000,,,,,,,NR SA,,,,,,,,,,,,,,,,
48,1,,,-121.9331898,47.5260679,2025-12-11 22:55:06.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.870000,,,,,,,NR SA,,,,,,,,,,,,,,,,
49,1,,,-121.9331898,47.5260679,2025-12-11 22:55:07.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-103.100000,,,,,,,NR SA,,,,,,,,,,,,,,,,
50,1,,,-121.9331898,47.5260679,2025-12-11 22:55:08.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-104.710000,,,,,,,NR SA,,,,,,,,,,,,,,,,
51,1,,,-121.9331898,47.5260679,2025-12-11 22:55:09.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-105.940000,,,,,,,NR SA,,,,,,,,,,,,,,,,
52,1,,,-121.9331898,47.5260679,2025-12-11 22:55:10.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-104.060000,,,,,,,NR SA,,,,,,,,,,,,,,,,
53,1,,,-121.9331898,47.5260679,2025-12-11 22:55:11.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-107.590000,,,,,,,NR SA,,,,,,,,,,,,,,,,
54,1,,,-121.9331898,47.5260679,2025-12-11 22:55:12.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-106.800000,,,,,,,NR SA,,,,,,,,,,,,,,,,
55,1,,,-121.9331898,47.5260679,2025-12-11 22:55:13.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.020000,,,,,,,NR SA,,,,,,,,,,,,,,,,
56,1,,,-121.9331898,47.5260679,2025-12-11 22:55:14.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.990000,,,,,,,NR SA,,,,,,,,,,,,,,,,
57,1,,,-121.9331898,47.5260679,2025-12-11 22:55:15.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.040000,,,,,,,NR SA,,,,,,,,,,,,,,,,
58,1,,,-121.9331898,47.5260679,2025-12-11 22:55:16.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.140000,,,,,,,NR SA,,,,,,,,,,,,,,,,
