IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
42,1,,,-121.9331907,47.5260659,2025-12-10 23:45:32.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.370000,,,,,,,NR SA,,,,,,,,,,,,,,,,
43,1,,,-121.9331907,47.5260659,2025-12-10 23:45:33.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-98.510000,,,,,,,NR SA,,,,,,,,,,,,,,,,
44,1,,,-121.9331907,47.5260659,2025-12-10 23:45:34.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-101.870000,,,,,,,NR SA,,,,,,,,,,,,,,,,
45,1,,,-121.9331907,47.5260659,2025-12-10 23:45:35.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-106.170000,,,,,,,NR SA,,,,,,,,,,,,,,,,
46,1,,,-121.9331907,47.5260659,2025-12-10 23:45:36.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-100.620000,,,,,,,NR SA,,,,,,,,,,,,,,,,
47,1,,,-121.9331907,47.5260659,2025-12-10 23:45:37.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.780000,,,,,,,NR SA,,,,,,,,,,,,,,,,
48,1,,,-121.9331907,47.5260659,2025-12-10 23:45:38.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.130000,,,,,,,NR SA,,,,,,,,,,,,,,,,
49,1,,,-121.9331907,47.5260659,2025-12-10 23:45:39.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.660000,,,,,,,NR SA,,,,,,,,,,,,,,,,
50,1,,,-121.9331907,47.5260659,2025-12-10 23:45:40.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-103.900000,,,,,,,NR SA,,,,,,,,,,,,,,,,
51,1,,,-121.9331907,47.5260659,2025-12-10 23:45:41.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-103.910000,,,,,,,NR SA,,,,,,,,,,,,,,,,
52,1,,,-121.9331907,47.5260659,2025-12-10 23:45:42.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-100.930000,,,,,,,NR SA,,,,,,,,,,,,,,,,
53,1,,,-121.9331907,47.5260659,2025-12-10 23:45:43.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.490000,,,,,,,NR SA,,,,,,,,,,,,,,,,
54,1,,,-121.9331907,47.5260659,2025-12-10 23:45:44.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-101.330000,,,,,,,NR SA,,,,,,,,,,,,,,,,
55,1,,,-121.9331907,47.5260659,2025-12-10 23:45:45.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-101.360000,,,,,,,NR SA,,,,,,,,,,,,,,,,
56,1,,,-121.9331907,47.5260659,2025-12-10 23:45:46.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.460000,,,,,,,NR SA,,,,,,,,,,,,,,,,
57,1,,,-121.9331907,47.5260659,2025-12-10 23:45:47.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.700000,,,,,,,NR SA,,,,,,,,,,,,,,,,
58,1,,,-121.9331907,47.5260659,2025-12-10 23:45:48.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-100.110000,,,,,,,NR SA,,,,,,,,,,,,,,,,
59,1,,,-121.9331907,47.5260659,2025-12-10 23:45:49.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.210000,,,,,,,NR SA,,,,,,,,,,,,,,,,
60,1,,,-121.9331907,47.5260659,2025-12-10 23:45:50.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.220000,,,,,,,NR SA,,,,,,,,,,,,,,,,
61,1,,,-121.9331907,47.5260659,2025-12-10 23:45:51.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.690000,,,,,,,NR SA,,,,,,,,,,,,,,,,
62,1,,,-121.9331907,47.5260659,2025-12-10 23:45:52.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.510000,,,,,,,NR SA,,,,,,,,,,,,,,,,
63,1,,,-121.9331907,47.5260659,2025-12-10 23:45:53.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-100.240000,,,,,,,NR SA,,,,,,,,,,,,,,,,
64,1,,,-121.9331907,47.5260659,2025-12-10 23:45:54.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.970000,,,,,,,NR SA,,,,,,,,,,,,,,,,
65,1,,,-121.9331907,47.5260659,2025-12-10 23:45:55.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.130000,,,,,,,NR SA,,,,,,,,,,,,,,,,
66,1,,,-121.9331907,47.5260659,2025-12-10 23:45:56.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.680000,,,,,,,NR SA,,,,,,,,,,,,,,,,
67,1,,,-121.9331907,47.5260659,2025-12-10 23:45:57.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.440000,,,,,,,NR SA,,,,,,,,,,,,,,,,
68,1,,,-121.9331907,47.5260659,2025-12-10 23:45:58.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-98.190000,,,,,,,NR SA,,,,,,,,,,,,,,,,
69,1,,,-121.9331907,47.5260659,2025-12-10 23:45:59.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.690000,,,,,,,NR SA,,,,,,,,,,,,,,,,
70,1,,,-121.9331907,47.5260659,2025-12-10 23:46:00.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.770000,,,,,,,NR SA,,,,,,,,,,,,,,,,
71,1,,,-121.9331907,47.5260659,2025-12-10 23:46:01.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-91.880000,,,,,,,NR SA,,,,,,,,,,,,,,,,
72,1,,,-121.9331907,47.5260659,2025-12-10 23:46:02.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.130000,,,,,,,NR SA,,,,,,,,,,,,,,,,
73,1,,,-121.9331907,47.5260659,2025-12-10 23:46:03.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.890000,,,,,,,NR SA,,,,,,,,,,,,,,,,
74,1,,,-121.9331907,47.5260659,2025-12-10 23:46:04.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-98.870000,,,,,,,NR SA,,,,,,,,,,,,,,,,
75,1,,,-121.9331907,47.5260659,2025-12-10 23:46:05.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-101.450000,,,,,,,NR SA,,,,,,,,,,,,,,,,
76,1,,,-121.9331907,47.5260659,2025-12-10 23:46:06.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-102.460000,,,,,,,NR SA,,,,,,,,,,,,,,,,
77,1,,,-121.9331907,47.5260659,2025-12-10 23:46:07.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-100.460000,,,,,,,NR SA,,,,,,,,,,,,,,,,
78,1,,,-121.9331907,47.5260659,2025-12-10 23:46:08.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.800000,,,,,,,NR SA,,,,,,,,,,,,,,,,
79,1,,,-121.9331907,47.5260659,2025-12-10 23:46:09.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.200000,,,,,,,NR SA,,,,,,,,,,,,,,,,
80,1,,,-121.9331907,47.5260659,2025-12-10 23:46:10.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.350000,,,,,,,NR SA,,,,,,,,,,,,,,,,
