IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
19,1,,,-121.9331659,47.5260802,2026-01-22 00:11:28.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
20,1,,,-121.9331659,47.5260802,2026-01-22 00:11:28.912,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,DL,INVITE,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,,,-121.9331659,47.5260802,2026-01-22 00:11:28.988,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,UL,,183 Session Progress,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,,,-121.9331659,47.5260802,2026-01-22 00:11:29.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
23,1,,,-121.9331659,47.5260802,2026-01-22 00:11:29.905,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,DL,PRACK,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,,,-121.9331659,47.5260802,2026-01-22 00:11:29.926,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,UL,,200 OK,PRACK,,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,-121.9331659,47.5260802,2026-01-22 00:11:30.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
26,1,,,-121.9331659,47.5260802,2026-01-22 00:11:30.609,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Answer Request,,,,,,,,,,,,,,,,,
27,1,,,-121.9331659,47.5260802,2026-01-22 00:11:30.919,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,UL,,200 OK,INVITE,,,,,,,,,,,,,,,,,,,,,,,,
28,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
