[General] Serving Network,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.351,
NR SA,,,,1.615,
NR SA,,,,1.951,
NR SA,,,,1.464,
NR SA,,,,1.626,
NR SA,,,,1.550,
NR SA,,,,1.899,
NR SA,,,,1.604,
NR SA,,,,1.091,
NR SA,,,,1.615,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.133,
NR SA,,,,1.528,
NR SA,,,,1.997,
NR SA,,,,2.641,
NR SA,,,,2.008,
NR SA,,,,1.244,
NR SA,,,,2.761,
NR SA,,,,5.118,
NR SA,,,,6.547,
NR SA,,,,5.816,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
,INVITE,,,,
,,100 Trying,,,
,,180 Ringing,,,
NR SA,,,,,
,,200 OK,INVITE,,
,ACK,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,7.254,
NR SA,,,,6.410,
NR SA,,,,7.701,
NR SA,,,,11.807,
NR SA,,,,10.454,
NR SA,,,,10.443,
NR SA,,,,10.290,
NR SA,,,,7.715,
NR SA,,,,8.806,
NR SA,,,,5.467,
NR SA,,,,2.987,
NR SA,,,,7.591,
NR SA,,,,3.426,
NR SA,,,,7.682,
NR SA,,,,0.764,
NR SA,,,,5.391,
NR SA,,,,7.333,
NR SA,,,,7.617,
NR SA,,,,7.540,
NR SA,,,,8.108,
NR SA,,,,11.217,
NR SA,,,,7.133,
NR SA,,,,10.639,
NR SA,,,,6.755,
NR SA,,,,7.941,
,BYE,,,,
,,200 OK,BYE,,
NR SA,,,,5.674,
NR SA,,,,4.147,
NR SA,,,,0.906,
NR SA,,,,0.742,
NR SA,,,,2.324,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,0.762,
NR SA,,,,1.210,
NR SA,,,,1.759,
NR SA,,,,2.041,
NR SA,,,,2.008,
NR SA,,,,2.409,
NR SA,,,,2.490,
NR SA,,,,4.856,
NR SA,,,,7.060,
NR SA,,,,6.831,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
