[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,,,,,,,,,,,,,,,,,,,Complete,[Tool] Voice - Call Result : Complete,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Release Call Request,,,,,
,752,-90.880000,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Answer Request,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,752,-90.330000,,,,,,,,,,,,,,,,,,,,,,,
,752,-91.060000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.010000,,,,,,,,,,,,,,,,,,,,,,,
,744,-95.670000,,,,,,,,,,,,,,,,,,,,,,,
,744,-96.450000,,,,,,,,,,,,,,,,,,,,,,,
,744,-99.560000,,,,,,,,,,,,,,,,,,,,,,,
,744,-97.760000,,,,,,,,,,,,,,,,,,,,,,,
,744,-97.880000,,,,,,,,,,,,,,,,,,,,,,,
,744,-98.530000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HTTP Download,Incomplete,,,,,,,
,744,-97.910000,,,,,,,,,,,,,,,,,,,,,,,
,744,-97.480000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.900000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.080000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.120000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.620000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.020000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.980000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.270000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.880000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.160000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.890000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.560000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.490000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.830000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.780000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.040000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.570000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.240000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.830000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.960000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.800000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.630000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.260000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.110000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.010000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.700000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.250000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.280000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.540000,,,,,,,,,,,,,,,,,,,,,,,
,272,-91.760000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.810000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.030000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.990000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.840000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.390000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.980000,,,,,,,,,,,,,,,,,,,,,,,
,272,-97.430000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.800000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.170000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.010000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.710000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.200000,,,,,,,,,,,,,,,,,,,,,,,
,272,-96.060000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.850000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.800000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.440000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.630000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.540000,,,,,,,,,,,,,,,,,,,,,,,
,272,-95.120000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.970000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.880000,,,,,,,,,,,,,,,,,,,,,,,
,272,-94.810000,,,,,,,,,,,,,,,,,,,,,,,
,272,-104.230000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.360000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.790000,,,,,,,,,,,,,,,,,,,,,,,
,272,-89.740000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.470000,,,,,,,,,,,,,,,,,,,,,,,
,272,-89.920000,,,,,,,,,,,,,,,,,,,,,,,
,272,-88.780000,,,,,,,,,,,,,,,,,,,,,,,
,272,-91.500000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.430000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.490000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.990000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.710000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.580000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Release Call Request,,,,,
,272,-90.620000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.630000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling End,,,,,
,,,,,Termination,2.305000,Complete,,,,,,,,,EPSFB,Voice,Complete,,,,,,,31.530000
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Release Call Request,,,,,
,272,-92.810000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.780000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Term),,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Wait Page,,,,,
,272,-91.670000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.060000,,,,,,,,,,,,,,,,,,,,,,,
,272,-88.690000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,INVITE,,,,,,,,,,,,
,272,-88.670000,432,-78.000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Answer Request,,,,,
,272,-87.920000,432,-79.000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,,200 OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,272,-90.010000,432,-80.000000,,,,,NR NSA,,,,,,,,,,,,,,,,
,,,432,-79.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-79.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-80.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,,,432,-78.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,,,432,-77.170000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-77.500000,,,,,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.170000,,,,5.288,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.500000,,,,7.332,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,7.995,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.830000,,,,8.764,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.830000,,,,10.004,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.830000,,,,13.413,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.670000,,,,16.641,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.170000,,,,21.205,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.170000,,,,18.961,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,25.245,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,30.055,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.670000,,,,27.911,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.170000,,,,29.486,LTE 3CA,,,,,,,,,,,,,,,,
