[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N41(100)+N41(40),NR SA,266,-92.440000,12.460000,,,,,,,,143.133,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.250000,12.300000,,,,,,,,146.286,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.290000,13.120000,,,,,,,,132.863,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.590000,11.520000,,,,,,,,133.424,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.330000,11.730000,,,,,,,,143.897,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.930000,11.330000,,,,,,,,144.453,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.930000,10.510000,,,,,,,,153.510,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.200000,11.110000,,,,,,,,141.911,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.740000,11.860000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-90.930000,12.230000,,,,,,,,123.458,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.020000,12.200000,,,,,,,,145.457,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-89.990000,13.350000,,,,,,,,90.523,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.100000,13.800000,,,,,,,,79.989,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-89.830000,16.310000,,,,,,,,86.281,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-90.100000,14.840000,,,,,,,,88.507,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-90.690000,15.210000,,,,,,,,96.593,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.720000,16.250000,,,,,,,,92.108,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.890000,14.330000,,,,,,,,100.674,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.890000,12.970000,,,,,,,,97.040,,,,,,,,
,,,,,,,,,,,,,,Download End Request,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.780000,13.780000,,,,,,,,101.438,,,,,,,,
,,,,,,,,,,,,,,Download Ended,,,,,,,,,
