[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.020000,22.280000,,,,,,,,,327.758,,,375.867000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.100000,21.530000,,,,,,,,,388.423,,,448.254000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.190000,21.900000,,,,,,,,,484.335,,,598.081000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.450000,21.510000,,,,,,,,,577.932,,,511.713000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.740000,21.830000,,,,,,,,,388.746,,,356.925000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.670000,21.780000,,,,,,,,,339.504,,,363.557000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.780000,21.650000,,,,,,,,,345.629,,,364.395000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.050000,21.540000,,,,,,,,,345.308,,,373.965000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.040000,20.960000,,,,,,,,,367.870,,,390.171000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.620000,21.070000,,,,,,,,,359.940,,,390.577000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.540000,20.630000,,,,,,,,,383.849,,,402.385000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.530000,21.220000,,,,,,,,,376.218,,,402.721000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.450000,20.780000,,,,,,,,,377.457,,,377.243000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.320000,20.880000,,,,,,,,,381.476,,,417.371000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.360000,20.920000,,,,,,,,,401.302,,,434.561000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.480000,20.220000,,,,,,,,,414.507,,,428.177000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.610000,21.650000,,,,,,,,,461.166,,,450.743000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.740000,20.620000,,,,,,,,,510.351,,,529.736000,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.640000,20.250000,,,,,,,,,,,,520.307000,
,,,N41(100)+N71(20)+N25(20)+N41(90),,4,902,-69.610000,20.830000,,,,,,,,,,,,215.148000,0.163000
,,,N41(100)+N71(20)+N25(20)+N41(90),,3,902,-68.200000,22.670000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-68.630000,21.840000,,,,,,,,,,,,8.064000,0.035000
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-68.600000,21.950000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-67.950000,23.150000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-68.340000,23.600000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-67.810000,24.280000,,,,,,,,,,,,,
,,,N41(x),,1,902,-67.260000,23.420000,,,,,,,,,,,,,
,,,N41(x),,1,902,-66.520000,20.250000,,,,,,,,,,,,,
,,,N41(x),,0,902,-68.230000,20.970000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.080000,24.440000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.820000,23.160000,,,,,,,,,,,,0.063000,0.049000
,,,N41(100),,1,902,-64.910000,21.900000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.730000,21.980000,,,,,,,,,,,,,
,,,N41(100),,0,902,-64.720000,22.180000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.070000,21.530000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.350000,20.740000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.420000,20.010000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.570000,19.570000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.740000,19.260000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.410000,19.820000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.910000,20.560000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.650000,19.800000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.380000,18.960000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.080000,18.530000,,,,,,,,,,,,,
,,,N41(x),,1,902,-63.770000,19.230000,,,,,,,,,,,,,
,,,N41(x),,1,902,-64.380000,22.820000,,,,,,,,,,,,,
,,,N41(x),,0,902,-64.240000,21.180000,,,,,,,,,,,,,
,,,N41(x),,1,902,-63.640000,21.190000,,,,,,,,,,,,,
,,,N41(x),,0,902,-63.720000,23.530000,,,,,,,,,,,,,
,,,N41(x),,1,902,-63.600000,22.280000,,,,,,,,,,,,,
,,,N41(x),,0,902,-63.720000,22.240000,,,,,,,,,,,,,
