[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100)+N41(40),NR SA,2,902,-73.690000,18.920000,,,,,,,,,132.177,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.700000,19.310000,,,,,,,,,100.925,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.670000,18.210000,,,,,,,,,84.546,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.720000,17.920000,,,,,,,,,94.563,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.240000,18.410000,,,,,,,,,100.139,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.670000,16.810000,,,,,,,,,158.977,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.370000,16.820000,,,,,,,,,246.371,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.260000,17.450000,,,,,,,,,348.813,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.850000,17.560000,,,,,,,,,379.596,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.700000,18.670000,,,,,,,,,426.102,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.680000,18.810000,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-70.420000,18.590000,,,,,,,,,166.454,,,,
,,,N41(100)+N41(40),NR SA,2,902,-68.560000,19.310000,,,,,,,,,166.222,,,,
,,,N41(100)+N41(40),NR SA,2,902,-69.160000,19.070000,,,,,,,,,164.935,,,,
,,,N41(100)+N41(40),NR SA,2,902,-67.210000,18.840000,,,,,,,,,193.699,,,,
,,,N41(100)+N41(40),NR SA,2,902,-67.340000,18.100000,,,,,,,,,192.444,,,,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-68.020000,16.540000,,,,,,,,,146.985,,,,
,,,N41(100)+N41(40),,2,902,-68.230000,16.910000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-70.230000,18.110000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-69.670000,16.880000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-70.330000,14.300000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-71.730000,20.060000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.110000,18.660000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.740000,18.280000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.570000,19.870000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.940000,17.620000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.090000,18.170000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.920000,19.180000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.370000,18.130000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.290000,18.900000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.000000,19.340000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-76.360000,16.450000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.030000,18.030000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-75.100000,15.800000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
