Device,DUT,REF
266,-64.0,-68.5
267,-63.0,-69.0
268,-63.0,-67.0
269,-63.0,-67.0
270,-64.0,-67.0
271,-64.0,-68.0
272,-64.0,-68.0
273,-66.0,-78.0
274,-66.0,-78.0
275,-66.0,-78.0
276,-66.0,-78.0
277,-66.0,-78.0
278,-66.0,-78.0
279,-63.0,-78.0
280,-63.0,-78.0
281,-63.0,-78.0
282,-60.0,-78.0
283,-60.0,-78.0
284,-60.0,-78.0
285,-63.0,-78.0
286,-63.0,-78.0
287,-63.0,-78.0
288,-60.0,-78.0
289,-60.0,-78.0
290,-60.0,-78.0
291,-63.0,-81.0
292,-63.0,-81.0
293,-63.0,-81.0
294,-63.0,-78.0
295,-63.0,-78.0
296,-60.0,-78.0
297,-60.0,-79.0
298,-60.0,-79.0
299,-61.0,-79.0
300,-61.0,-78.0
301,-61.0,-78.0
302,-60.0,-78.0
303,-60.0,-74.0
304,-60.0,-74.0
305,-60.0,-74.0
306,-60.0,-72.0
307,-60.0,-72.0
308,-60.0,-72.0
309,-60.0,-69.0
310,-60.0,-69.0
311,-59.0,-69.0
312,-59.0,-69.0
313,-59.0,-69.0
314,-61.0,-69.0
315,-61.0,-69.0
316,-61.0,-69.0
317,-59.0,-69.0
318,-59.0,-70.0
319,-58.0,-70.0
320,-58.0,-70.0
321,-58.0,-73.0
322,-61.0,-73.0
323,-61.0,-76.0
324,-61.0,-76.0
325,-61.0,-76.0
326,-61.0,-73.0
327,-61.0,-73.0
328,-60.0,-73.0
329,-60.0,-73.0
330,-60.0,-73.0
331,-62.0,-73.0
332,-62.0,-68.0
333,-62.0,-68.0
334,-58.0,-68.0
335,-58.0,-66.0
336,-58.0,-66.0
337,-53.0,-66.0
338,-53.0,-66.0
339,-53.0,-66.0
340,-62.0,-66.0
341,-62.0,-66.0
342,-62.0,-66.0
343,-60.0,-66.0
344,-60.0,-68.0
345,-60.0,-68.0
346,-60.0,-68.0
347,-60.0,-65.0
348,-60.0,-65.0
349,-58.0,-65.0
350,-58.0,-64.0
351,-58.0,-64.0
352,-54.0,-64.0
353,-54.0,-69.0
354,-54.0,-69.0
355,-56.0,-69.0
356,-56.0,-69.0
357,-56.0,-69.0
358,-57.0,-69.0
359,-57.0,-69.0
360,-56.0,-69.0
361,-55.0,-69.0
362,-56.0,-69.0
363,-56.0,-69.0
364,-56.0,-69.0
365,-60.0,-69.0
366,-60.0,-69.0
367,-60.0,-69.0
368,-55.0,-69.0
369,-55.0,-69.0
370,-55.0,-69.0
371,-55.0,-69.0
372,-55.0,-69.0
373,-55.0,-69.0
374,-54.0,-69.0
375,-54.0,-69.0
376,-54.0,-69.0
377,-55.0,-69.0
378,-55.0,-69.0
379,-55.0,-69.0
380,-57.0,-69.0
381,-57.0,-69.0
382,-57.0,-69.0
383,-57.0,-69.0
384,-57.0,-69.0
385,-57.0,-69.0
386,-48.0,-69.0
387,-48.0,-69.0
388,-48.0,-69.0
389,-51.0,-69.0
390,-51.0,-69.0
391,-51.0,-69.0
392,-52.0,-69.0
393,-52.0,-69.0
394,-52.0,-69.0
395,-50.0,-69.0
396,-50.0,-69.0
397,-50.0,-69.0
398,-52.0,-69.0
399,-52.0,-69.0
400,-52.0,-69.0
401,-49.0,-69.0
402,-49.0,-69.0
403,-51.0,-69.0
404,-51.0,-69.0
405,-51.0,-69.0
406,-51.0,-69.0
407,-51.0,-69.0
408,-51.0,-64.0
409,-53.0,-64.0
410,-53.0,-64.0
411,-53.0,-66.0
412,-54.0,-66.0
413,-54.0,-66.0
414,-54.0,-68.0
415,-55.0,-68.0
416,-55.0,-68.0
417,-55.0,-63.0
418,-51.0,-63.0
419,-51.0,-63.0
420,-51.0,-67.0
421,-52.0,-67.0
422,-52.0,-67.0
423,-52.0,-65.0
424,-51.0,-65.0
425,-51.0,-65.0
426,-51.0,-63.0
427,-51.0,-63.0
428,-51.0,-63.0
429,-51.0,-59.0
430,-52.0,-59.0
431,-52.0,-59.0
432,-52.0,-62.0
433,-50.0,-62.0
434,-50.0,-62.0
435,-50.0,-62.0
436,-50.0,-62.0
437,-50.0,-62.0
438,-50.0,-55.0
439,-54.0,-55.0
440,-54.0,-55.0
441,-54.0,-55.0
442,-56.0,-55.0
443,-56.0,-58.0
444,-58.0,-58.0
445,-58.0,-58.0
446,-58.0,-58.0
447,-58.0,-58.0
448,-58.0,-58.0
449,-58.0,-54.0
450,-54.0,-54.0
451,-54.0,-54.0
452,-54.0,-54.0
453,-57.0,-54.0
454,-57.0,-54.0
455,-60.0,-60.0
456,-60.0,-60.0
457,-59.0,-60.0
458,-59.0,-60.0
459,-57.5,-60.0
460,-56.0,-60.0
461,-56.0,-60.0
462,-64.0,-59.0
463,-60.0,-59.0
464,-56.0,-62.0
465,-56.0,-62.0
466,-62.0,-62.0
467,-62.0,-59.0
468,-62.0,-59.0
469,-63.0,-59.0
470,-63.0,-59.0
471,-63.0,-59.0
472,-62.0,-59.0
473,-62.0,-59.0
474,-62.0,-59.0
475,-62.0,-59.0
476,-62.0,-65.0
477,-62.0,-65.0
478,-63.0,-65.0
479,-63.0,-64.0
480,-63.0,-64.0
481,-63.0,-64.0
482,-63.0,-62.0
483,-63.0,-62.0
484,-62.0,-67.0
485,-62.0,-67.0
486,-62.0,-67.0
487,-65.0,-66.0
488,-65.0,-66.0
489,-65.0,-66.0
490,-67.0,-65.0
491,-67.0,-65.0
492,-67.0,-65.0
493,-66.0,-67.0
494,-66.0,-67.0
495,-66.0,-67.0
496,-63.0,-64.0
497,-63.0,-64.0
498,-63.0,-64.0
499,-61.0,-64.0
500,-61.0,-64.0
501,-61.0,-64.0
502,-66.0,-61.0
503,-66.0,-61.0
504,-66.0,-61.0
505,-66.0,-60.0
506,-66.0,-60.0
507,-66.0,-60.0
508,-68.0,-64.0
509,-68.0,-64.0
510,-68.0,-64.0
511,-71.0,-69.0
512,-71.0,-69.0
513,-64.0,-69.0
514,-64.0,-67.0
515,-64.0,-67.0
516,-66.0,-67.0
517,-66.0,-64.0
518,-66.0,-64.0
519,-66.0,-64.0
520,-66.0,-65.0
521,-66.0,-65.0
522,-65.0,-65.0
523,-65.0,-72.0
524,-65.0,-72.0
525,-63.0,-72.0
526,-63.0,-69.0
527,-63.0,-69.0
528,-63.0,-69.0
529,-63.0,-69.0
530,-63.0,-69.0
531,-63.0,-69.0
532,-63.0,-69.0
533,-63.0,-69.0
534,-63.0,-69.0
535,-63.0,-69.0
536,-63.0,-69.0
537,-64.0,-69.0
538,-64.0,-69.0
539,-64.0,-69.0
540,-65.0,-69.0
541,-65.0,-69.0
542,-65.0,-69.0
543,-63.0,-69.0
544,-63.0,-69.0
545,-63.0,-74.0
546,-63.0,-74.0
547,-63.0,-74.0
548,-63.0,-72.0
549,-62.0,-72.0
550,-62.0,-72.0
551,-62.0,-75.0
552,-58.0,-75.0
553,-58.0,-75.0
554,-58.0,-67.0
555,-60.0,-67.0
556,-60.0,-67.0
557,-64.0,-66.0
558,-65.5,-66.0
559,-67.0,-66.0
560,-67.0,-69.0
561,-61.0,-69.0
562,-60.0,-69.0
563,-59.0,-74.0
564,-58.5,-74.0
565,-58.0,-74.0
566,-58.0,-74.0
567,-60.0,-74.0
568,-60.0,-74.0
569,-56.0,-80.0
570,-56.0,-80.0
571,-57.0,-80.0
572,-58.0,-81.0
573,-58.0,-81.0
574,-63.0,-81.0
575,-63.0,-79.0
576,-60.0,-79.0
577,-57.0,-79.0
578,-57.0,-73.0
579,-55.0,-73.0
580,-55.0,-73.0
581,-55.0,-70.0
582,-58.0,-70.0
583,-58.0,-70.0
584,-58.0,-69.0
585,-56.0,-69.0
586,-56.0,-69.0
587,-56.0,-67.0
588,-57.0,-67.0
589,-57.0,-67.0
590,-57.0,-67.0
591,-54.0,-67.0
592,-54.0,-67.0
593,-54.0,-65.0
594,-57.0,-65.0
595,-57.0,-65.0
596,-57.0,-71.0
597,-55.0,-71.0
598,-55.0,-71.0
599,-55.0,-69.0
600,-54.0,-69.0
601,-54.0,-69.0
602,-54.0,-69.0
603,-56.0,-69.0
604,-56.0,-69.0
605,-56.0,-70.0
606,-57.0,-70.0
607,-57.0,-70.0
608,-57.0,-72.0
609,-53.0,-72.0
610,-53.0,-72.0
611,-53.0,-68.0
612,-52.0,-68.0
613,-52.0,-68.0
614,-52.0,-67.0
615,-53.0,-67.0
616,-53.0,-67.0
617,-53.0,-69.0
618,-53.0,-69.0
619,-53.0,-69.0
620,-53.0,-65.0
621,-57.0,-65.0
622,-57.0,-65.0
623,-57.0,-64.0
624,-56.0,-64.0
625,-56.0,-64.0
626,-56.0,-63.0
627,-57.0,-63.0
628,-57.0,-63.0
629,-57.0,-66.0
630,-56.0,-66.0
631,-56.0,-66.0
632,-56.0,-67.0
633,-63.0,-67.0
634,-63.0,-67.0
635,-63.0,-67.0
636,-66.0,-67.0
637,-66.0,-67.0
638,-66.0,-65.0
639,-65.0,-65.0
640,-65.0,-65.0
641,-65.0,-60.0
642,-63.0,-60.0
643,-63.0,-60.0
644,-63.0,-60.0
645,-58.0,-60.0
646,-58.0,-60.0
647,-58.0,-63.0
648,-61.0,-63.0
649,-61.0,-63.0
650,-61.0,-67.0
651,-59.0,-67.0
652,-59.0,-67.0
653,-59.0,-60.0
654,-61.0,-60.0
655,-61.0,-60.0
