Device,DUT,REF
1,-64.0,0.0
2,-60.0,0.0
3,-60.0,-68.0
4,-60.0,-68.0
5,-63.0,-68.0
6,-63.0,-64.0
7,-63.0,-64.0
8,-66.0,-64.0
9,-66.0,-63.0
10,-66.0,-63.0
11,-63.0,-63.0
12,-63.0,-62.0
13,-63.0,-62.0
14,-62.0,-62.0
15,-62.0,-64.0
16,-62.0,-64.0
17,-61.0,-64.0
18,-61.0,-63.0
19,-61.0,-63.0
20,-57.0,-63.0
21,-57.0,-62.0
22,-57.0,-62.0
23,-60.0,-62.0
24,-60.0,-63.0
25,-60.0,-63.0
26,-60.0,-63.0
27,-60.0,-63.0
28,-60.0,-63.0
29,-59.0,-63.0
30,-59.0,-61.0
31,-59.0,-61.0
32,-58.0,-61.0
33,-58.0,-61.0
34,-58.0,-61.0
35,-57.0,-61.0
36,-57.0,-61.0
37,-57.0,-61.0
38,-55.0,-61.0
39,-55.0,-62.0
40,-55.0,-62.0
41,-58.0,-62.0
42,-58.0,-61.0
43,-58.0,-61.0
44,-66.0,-61.0
45,-66.0,-61.0
46,-66.0,-61.0
47,-64.0,-61.0
48,-64.0,-64.0
49,-64.0,-64.0
50,-57.0,-64.0
51,-57.0,-61.0
52,-57.0,-61.0
53,-61.0,-61.0
54,-61.0,-59.0
55,-61.0,-59.0
56,-58.0,-59.0
57,-58.0,-60.0
58,-58.0,-60.0
59,-56.0,-60.0
60,-56.0,-57.0
61,-56.0,-57.0
62,-54.0,-57.0
63,-54.0,-57.0
64,-54.0,-57.0
65,-57.0,-57.0
66,-57.0,-58.0
67,-57.0,-58.0
68,-53.0,-58.0
69,-53.0,-58.0
70,-53.0,-58.0
71,-55.0,-58.0
72,-55.0,-58.0
73,-55.0,-58.0
74,-50.0,-59.0
75,-50.0,-59.0
76,-50.0,-78.0
77,-48.0,-78.0
78,-48.0,-78.0
79,-48.0,-70.0
80,-50.0,-70.0
81,-50.0,-70.0
82,-50.0,-70.0
83,-48.0,-70.0
84,-48.0,-70.0
85,-48.0,-69.0
86,-48.0,-70.0
87,-48.0,-70.0
88,-53.0,-70.0
89,-53.0,-70.0
90,-56.0,-70.0
91,-56.0,-70.0
92,-56.0,-72.0
93,-54.0,-72.0
94,-54.0,-72.0
95,-54.0,-72.0
96,-52.0,-72.0
97,-52.0,-72.0
98,-52.0,-71.0
99,-53.0,-71.0
100,-53.0,-71.0
101,-50.0,-66.0
102,-50.0,-66.0
103,-50.0,-66.0
104,-48.0,-66.0
105,-48.0,-66.0
106,-48.0,-66.0
107,-46.0,-70.0
108,-46.0,-70.0
109,-46.0,-70.0
110,-48.0,-70.0
111,-48.0,-70.0
112,-48.0,-70.0
113,-48.0,-68.0
114,-48.0,-68.0
115,-48.0,-68.0
116,-44.0,-68.0
117,-44.0,-68.0
118,-58.0,-68.0
119,-58.0,-68.0
120,-58.0,-68.0
121,-58.0,-68.0
122,-58.0,-65.0
123,-60.0,-65.0
124,-60.0,-65.0
125,-60.0,-60.0
126,-58.0,-60.0
127,-58.0,-60.0
128,-58.0,-59.0
129,-54.0,-59.0
130,-54.0,-59.0
131,-54.0,-64.0
132,-52.0,-64.0
133,-52.0,-64.0
134,-52.0,-63.0
135,-53.0,-63.0
136,-53.0,-63.0
137,-53.0,-62.0
138,-57.0,-62.0
139,-57.0,-62.0
140,-57.0,-60.0
141,-56.0,-60.0
142,-56.0,-60.0
143,-56.0,-61.0
144,-59.0,-61.0
145,-59.0,-62.0
146,-59.0,-62.0
147,-53.0,-62.0
148,-53.0,-61.0
149,-53.0,-61.0
150,-48.0,-61.0
151,-48.0,-60.0
152,-50.0,-60.0
153,-50.0,-60.0
154,-51.5,-59.0
155,-53.0,-59.0
156,-53.0,-59.0
157,-54.0,-57.0
158,-54.0,-57.0
159,-54.0,-57.0
160,-54.0,-55.0
161,-54.0,-55.0
162,-52.0,-55.0
163,-52.0,-59.0
164,-52.0,-59.0
165,-44.0,-59.0
166,-44.0,-60.0
167,-47.0,-60.0
168,-47.0,-60.0
169,-46.5,-61.0
170,-46.0,-61.0
171,-46.0,
172,-46.0,
173,-46.0,
174,-46.0,
175,-45.0,
