Device,MO DUT,MT DUT,MO REF,MT REF
145,-72.0,-68.0,-69.0,-68.0
146,-72.0,-68.0,-69.0,-67.0
147,-72.0,-68.0,-70.5,-67.0
148,-72.0,-68.0,-72.0,-67.0
149,-72.0,-68.0,-72.0,-68.0
150,-72.0,-68.0,-72.0,-68.0
151,-72.0,-68.0,-71.0,-68.0
152,-72.0,-68.0,-70.0,-69.0
153,-71.0,-68.0,-70.0,-69.0
154,-71.0,-68.0,-70.0,-69.0
155,-71.0,-68.0,-71.0,-70.0
156,-71.0,-68.0,-71.0,-70.0
157,-71.0,-68.0,-71.0,-68.0
158,-71.0,-68.0,-71.0,-68.0
159,-71.0,-68.0,-72.0,-68.0
160,-71.0,-68.0,-72.0,-68.0
161,-71.0,-68.0,-69.0,-68.0
162,-72.0,-68.0,-69.0,-68.0
163,-72.0,-68.0,-69.0,-67.0
164,-72.0,-68.0,-69.0,-67.0
165,-72.0,-68.0,-70.0,-67.0
166,-72.0,-68.0,-70.0,-68.0
167,-72.0,-68.0,-73.0,-68.0
168,-72.0,-68.0,-73.0,-68.0
169,-72.0,-68.0,-73.0,-68.0
170,-72.0,-68.0,-71.5,-68.0
171,-72.0,-68.0,-70.0,-68.0
172,-72.0,-68.0,-69.0,-68.0
173,-72.0,-68.0,-68.0,-68.0
174,-72.0,-68.0,-68.5,-68.0
175,-72.0,-68.0,-69.0,-68.0
176,-72.0,-68.0,-69.0,-68.0
177,-73.0,-68.0,-69.0,-68.0
178,-73.0,-68.0,-69.0,-68.0
179,-73.0,-68.0,-69.0,-68.0
180,-72.0,-68.0,-69.0,-68.0
181,-72.0,-68.0,-69.0,-69.0
182,-72.0,-68.0,-70.0,-69.0
183,-73.0,-68.0,-70.0,-69.0
184,-73.0,-68.0,-68.0,-69.0
185,-73.0,-68.0,-68.0,-69.0
186,-73.0,-68.0,-68.0,-69.0
187,-73.0,-68.0,-68.0,-67.0
188,-73.0,-68.0,-68.0,-67.0
189,-73.0,-68.0,-68.0,-67.0
190,-73.0,-68.0,-68.0,-68.0
191,-72.0,-68.0,-68.0,-68.0
192,-72.0,-68.0,-68.0,-68.0
