Device,MO DUT,MT DUT,MO REF,MT REF
1,-73.0,-71.0,-71.5,-57.0
2,-73.0,-71.0,-71.0,-57.0
3,-73.0,-71.0,-71.0,-57.0
4,-73.0,-71.0,-71.0,-57.0
5,-72.0,-71.0,-71.0,-57.0
6,-72.0,-71.0,-71.0,-57.0
7,-72.0,-72.0,-72.0,-57.0
8,-73.0,-72.0,-72.0,-59.0
9,-73.0,-72.0,-72.0,-59.0
10,-73.0,-72.0,-74.0,-59.0
11,-73.0,-72.0,-74.0,-59.0
12,-73.0,-72.0,-74.0,-59.0
13,-73.0,-72.0,-74.0,-59.0
14,-74.0,-72.0,-74.0,-60.0
15,-74.0,-72.0,-74.0,-60.0
16,-74.0,-71.0,-74.0,-60.0
17,-73.0,-71.0,-74.0,-60.0
18,-73.0,-71.0,-74.0,-60.0
19,-73.0,-71.0,-74.0,-60.0
20,-73.0,-71.0,-74.0,-60.0
21,-73.0,-70.0,-74.0,-60.0
22,-73.0,-70.0,-74.0,-60.0
23,-73.0,-70.0,-74.0,-61.0
24,-73.0,-72.0,-74.0,-61.0
25,-73.0,-72.0,-74.0,-61.0
26,-73.0,-72.0,-74.0,-60.0
27,-73.0,-73.0,-74.0,-60.0
28,-73.0,-73.0,-74.0,-60.0
29,-73.0,-73.0,-74.0,-60.0
30,-73.0,-71.0,-74.0,-60.0
31,-73.0,-71.0,-74.0,-60.0
32,-74.0,-71.0,-74.0,-60.0
33,-74.0,-71.0,-74.0,-60.0
34,-74.0,-71.0,-74.0,-60.0
35,-74.0,-71.0,-74.0,-60.0
36,-74.0,-71.0,-74.0,-60.0
37,-74.0,-71.0,-74.0,-60.0
38,-73.0,-71.0,-74.0,-60.0
39,-73.0,-71.0,-74.0,-60.0
40,-73.0,-71.0,-74.0,-60.0
41,-73.0,-71.0,-74.0,-60.0
42,-73.0,-70.0,-74.0,-60.0
43,-73.0,-70.0,-74.0,-60.0
44,-73.0,-70.0,-74.0,-60.0
45,-73.0,-71.0,-74.0,-60.0
46,-73.0,-71.0,-74.0,-60.0
47,-73.0,-71.0,-74.0,-60.0
48,-73.0,-71.0,-74.0,-60.0
49,-73.0,-71.0,-74.0,-60.0
50,-73.0,-71.0,-74.0,-60.0
51,-73.0,-71.0,-74.0,-60.0
52,-73.0,-71.0,-74.0,-60.0
53,-73.0,-71.0,-74.0,-60.0
54,-73.0,-72.0,-74.0,-60.0
55,-73.0,-72.0,-74.0,-60.0
56,-73.0,-72.0,-74.0,-61.0
57,-73.0,-73.0,-74.0,-61.0
58,-72.0,-73.0,-74.0,-61.0
59,-72.0,-73.0,-74.0,-60.0
60,-72.0,-71.0,-74.0,-60.0
61,-74.0,-71.0,-74.0,-60.0
62,-74.0,-71.0,-74.0,-60.0
63,-74.0,-71.0,-74.0,-60.0
64,-75.0,-71.0,-74.0,-60.0
65,-75.0,-71.0,-74.0,-60.0
66,-75.0,-71.0,-74.0,-60.0
67,-73.0,-71.0,-74.0,-60.0
68,-73.0,-71.0,-74.0,-60.0
69,-73.0,-71.0,-74.0,-60.0
70,-73.0,-71.0,-74.0,-60.0
71,-73.0,-71.0,-74.0,-60.0
72,-73.0,-71.0,-74.0,-60.0
73,-72.0,-71.0,-74.0,-61.0
74,-72.0,-71.0,-74.0,-61.0
75,-72.0,-71.0,-74.0,-61.0
76,-73.0,-71.0,-74.0,-61.0
77,-73.0,-71.0,-74.0,-61.0
78,-73.0,-71.0,-74.0,-61.0
79,-73.0,-71.0,-74.0,-60.0
80,-73.0,-71.0,-74.0,-60.0
81,-73.0,-71.0,-74.0,-60.0
82,-72.0,-71.0,-74.0,-60.0
83,-72.0,-71.0,-74.0,-60.0
84,-72.0,-72.0,-74.0,-60.0
85,-73.0,-72.0,-74.0,-60.0
86,-73.0,-72.0,-74.0,-60.0
87,-73.0,-73.0,-74.0,-60.0
88,-73.0,-73.0,-74.0,-60.0
89,-73.0,-73.0,-74.0,-60.0
90,-73.0,-71.0,-74.0,-60.0
91,-73.0,-71.0,-74.0,-60.0
92,-73.0,-71.0,-74.0,-60.0
93,-74.0,-71.0,-74.0,-60.0
94,-74.0,-71.0,-74.0,-60.0
95,-74.0,-71.0,-74.0,-60.0
96,-73.0,-71.0,-74.0,-60.0
97,-73.0,-71.0,-74.0,-60.0
98,-73.0,-71.0,-74.0,-60.0
99,-73.0,-71.0,-74.0,-60.0
100,-73.0,-71.0,-74.0,-60.0
101,-71.0,-71.0,-74.0,-60.0
102,-71.0,-71.0,-74.0,-60.0
103,-71.0,-71.0,-74.0,-59.0
104,-73.0,-71.0,-74.5,-59.0
105,-73.0,-72.0,-75.0,-59.0
106,-73.0,-72.0,-75.0,-63.0
107,-73.0,-72.0,-74.0,-63.0
108,-72.0,-71.0,-74.0,-63.0
109,-72.0,-71.0,-74.0,-59.0
110,-72.0,-71.0,-74.0,-59.0
111,-72.5,-71.0,-74.0,-59.0
112,-73.0,-71.0,-74.0,-58.0
113,-73.0,-71.0,-75.0,-58.0
114,-70.0,-69.0,-75.0,-58.0
115,-70.0,-69.0,-75.0,-58.0
116,-70.0,-69.0,-75.0,-58.0
117,-70.0,-69.0,-75.0,-58.0
118,-73.0,-69.0,-75.0,-58.0
119,-73.0,-69.0,-75.0,-58.0
120,-73.0,-71.0,-75.0,-58.0
121,-73.0,-71.0,-75.0,-57.0
122,-73.0,-71.0,-74.0,-57.0
123,-73.0,-73.0,-74.0,-57.0
124,-73.0,-73.0,-74.0,-57.0
125,-73.0,-73.0,-74.0,-57.0
126,-73.0,-73.0,-74.0,-57.0
127,-73.0,-73.0,-74.0,-58.0
128,-72.0,-73.0,-75.0,-58.0
