Device,CH1,CH2
DIR,   DL    UL   ,   DL    UL   
Max,4.38  4.44,4.44  4.44
Avg,4.13  4.14,4.10  3.92
Min,1.11  1.53,1.13  1.04
39,                  ,                  
38,                  ,                  
37,4.36,  4.36  4.32
36,  4.34  4.32,  4.01  4.33
35,  4.19  4.29,  4.25  4.39
34,  4.34  4.24,  4.41  4.27
33,  4.18  4.09,  4.39  4.19
32,  4.34  4.39,  4.44  4.34
31,  4.31  4.41,  4.35  4.32
30,  4.23  4.32,  4.41  2.87
29,  4.21  4.30,  4.35  4.32
28,  4.31  4.29,  4.40  4.26
27,  4.33  4.20,  4.27  4.43
26,  4.36  4.16,  4.38  4.34
25,  4.37  4.27,  4.28  4.33
24,  4.22  4.27,  4.01  4.27
23,  4.32  4.31,  4.41  4.44
22,  4.22  4.23,  4.38  4.19
21,  4.06  4.32,  4.32  3.99
20,  4.37  4.39,  4.30  4.32
19,  4.38  4.39,  4.40  4.32
18,  4.36  4.32,  4.27  4.19
17,  4.37  4.20,  4.40  4.18
16,  4.31  4.44,  4.37  4.16
15,  4.28  4.34,  2.70  1.88
14,  4.26  4.41,  3.07  1.85
13,  4.24  3.16,  4.26  4.33
12,  4.32  4.36,  4.42  4.18
11,  4.33  4.12,  4.32  4.30
10,  4.18  4.19,  4.25  1.04
9,  4.27  4.19,  3.04  2.69
8,  4.34  4.32,  4.34  4.35
7,  4.34  3.78,  4.43  4.31
6,  4.24  4.15,  4.38  4.31
5,  4.27  4.32,  4.12  3.97
4,  1.11  4.24,  1.13  4.27
3,  2.85  1.53,  3.96  3.72
2,  3.00  3.90,  4.05  3.83
1,  4.28  4.00,  4.16  3.41
,  4.31  4.29,  2.62  1.47
,  4.36  4.42,  3.20  1.56
,  4.36  4.33,  1.78  2.96
,  4.26  4.21,  4.43  2.96
,  4.20  4.38,  4.28  4.21
,  4.37  4.25,  4.36  4.26
,  4.38  4.38,  3.56  4.30
,  4.32  4.23,  4.06  4.28
,  4.19  4.35,  4.33  4.17
,  4.32  4.37,  4.41  4.32
,  4.33  4.37,  4.26  4.32
,  4.26  4.26,  4.34  4.26
,  4.26  4.33,  4.35  4.29
,  4.39  4.32,  4.27  4.28
,  4.33  4.06,  4.37  4.27
,  4.20  4.37,  4.41  4.18
,  1.06  4.23,  4.29  4.05
,  4.26  3.69,  1.08  2.20
,  1.08  2.54,  1.11  3.95
,  3.44  3.07,  4.29  2.87
,  4.37  4.00,  4.34  4.21
,4.18,  4.34  4.26
,  4.26  4.28,  4.30  3.98
,  4.30  4.26,  4.35  4.28
,  4.36  4.31,  4.32  4.21
,  4.34  4.28,  4.30  4.25
,  4.16  4.25,  4.40  3.78
,  4.35  4.30,  4.26  4.30
,  4.36  4.29,  1.07  4.36
,  4.25  4.29,  4.28  1.90
,  4.31  4.39,  4.29  4.14
,  4.35  4.38,  4.29  4.37
,  4.24  4.21,  4.32  4.27
,  4.30  4.32,  4.34  4.29
,  4.39  4.32,  4.38  4.36
,  3.96  4.33,  4.34  4.29
,  4.25  4.33,  4.26  4.38
,  4.33  4.32,  4.35  4.14
,  4.29  4.35,  4.40  4.27
,  4.35  4.32,  4.35  4.32
,  4.37  4.33,  4.29  4.30
,  4.34  4.33,  4.32  4.31
,  4.30  4.40,  4.29  4.31
,  4.33  4.22,  1.08  4.18
,  4.29  4.30,  2.67  2.42
,  4.37  4.25,  2.46  2.31
,  4.30  4.22,  2.18  2.87
,  4.32  4.25,  4.25  2.64
,  4.20  4.32,  4.34  4.17
,  4.23  4.30,  4.31  4.35
,  4.17  4.34,  4.33  4.12
,  4.24  4.38,  3.49  4.31
,  1.14  4.35,  4.19  4.23
,  3.15  1.55,  1.65  3.72
,  1.62  2.61,  4.03  3.89
,  1.03  4.28,  4.06  4.25
,  1.77  4.14,  3.69  4.24
,  3.88  3.74,  4.27  4.10
,  1.80  4.08,  4.17  3.99
,  4.05  3.74,  3.90  4.01
