Device,CH1,CH2
DIR,   DL    UL   ,   DL    UL   
Max,4.38  4.40,4.42  4.35
Avg,3.53  3.65,3.70  3.58
Min,1.01  0.00,1.01  1.07
33,  1.01  0.00,  4.02  4.28
32,  4.29  4.12,  4.40  4.30
31,  4.38  4.40,  4.32  4.28
30,  1.02  4.23,  4.39  4.19
29,  3.90  4.23,  4.36  4.26
28,  4.28  4.37,  4.36  4.27
27,  4.37  4.37,  4.31  3.98
26,  2.15  4.21,  1.19  4.19
25,  3.79  4.38,  4.34  1.23
24,  4.28  1.35,  1.38  4.29
23,  1.08  1.09,  2.98  1.27
22,  4.32  2.10,  4.26  1.54
21,  4.33  4.31,  1.01  4.20
20,  4.20  4.01,  4.31  1.08
19,  4.32  4.26,  4.27  4.29
18,  2.27  1.08,  4.26  3.86
17,  2.05  3.19,  3.57  4.07
16,  4.32  4.36,  4.32  1.07
15,  4.32  4.05,  4.35  4.25
14,  4.34  4.28,  1.10  4.26
13,  1.32  3.60,  4.33  2.22
12,  4.27  4.22,  4.33  4.33
11,  1.85  4.37,  4.35  4.30
10,  4.24  2.16,  1.01  4.23
9,  3.99  4.07,  4.20  1.08
8,  2.60  4.38,  4.37  4.31
7,  4.28  4.26,  4.19  4.27
6,  3.83  3.84,  4.42  4.33
5,  4.01  4.17,  4.39  4.20
4,  4.32  4.06,  1.21  2.69
3,  4.08  4.30,  4.39  4.35
2,  4.20  4.39,  4.34  4.32
1,  4.32  4.36,  4.34  4.29
