IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc),[NR5G] [RF] RSRP
1,1,,,-121.9314830,47.5244923,2026-01-26 19:41:41.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-66.170000
2,1,,,-121.9314830,47.5244923,2026-01-26 19:41:42.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-68.880000
3,1,,,-121.9314830,47.5244923,2026-01-26 19:41:43.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-69.670000
4,1,,,-121.9314830,47.5244923,2026-01-26 19:41:44.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-75.540000
5,1,,,-121.9314830,47.5244923,2026-01-26 19:41:45.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-77.130000
6,1,,,-121.9314830,47.5244923,2026-01-26 19:41:46.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-80.200000
7,1,,,-121.9314830,47.5244923,2026-01-26 19:41:47.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-82.000000
8,1,,,-121.9314830,47.5244923,2026-01-26 19:41:48.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-72.560000
9,1,,,-121.9314830,47.5244923,2026-01-26 19:41:49.000,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-67.560000
10,1,,,-121.9314830,47.5244923,2026-01-26 19:41:49.941,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,,,,,,,,,,,,,
11,1,,,-121.9314830,47.5244923,2026-01-26 19:41:49.941,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,,,,,,,,,,,,,
12,1,,,-121.9314830,47.5244923,2026-01-26 19:41:49.941,_20260126_114137_CH01_TMO_5GNR_WFC_DUT_TC-164.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,,,,,,,,,,,,,
