[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.030000,-1.360000,,,,,,,,,13.583,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.930000,1.650000,,,,,,,,,13.217,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.060000,-1.390000,,,,,,,,,10.923,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-107.400000,-1.300000,,,,,,,,,10.454,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-120.150000,-4.910000,,,,,,,,,5.892,,,,
,,,N41(100)+N41(40)+N41(100),NR SA,2,55,-103.140000,5.070000,,,,,,,,,8.511,,,,
,,,N41(100)+N41(40),NR SA,2,55,-101.050000,9.020000,,,,,,,,,7.671,,,,
,,,N41(100)+N41(40),NR SA,2,55,-101.080000,9.350000,,,,,,,,,23.690,,,,
,,,N41(100)+N41(40),NR SA,2,55,-103.640000,7.190000,,,,,,,,,28.703,,,,
,,,N41(100)+N41(40),NR SA,2,55,-103.290000,7.690000,,,,,,,,,35.718,,,,
,,,N41(100)+N41(40),NR SA,2,55,-103.510000,7.970000,,,,,,,,,46.027,,,,
,,,N41(100)+N41(40),NR SA,2,55,-105.800000,5.590000,,,,,,,,,56.841,,,,
,,,N41(100)+N41(40),NR SA,2,55,-106.830000,4.980000,,,,,,,,,73.776,,,,
,,,N41(100)+N41(40),NR SA,2,55,-109.410000,4.430000,,,,,,,,,87.689,,,,
,,,N41(100)+N41(40),NR SA,2,55,-106.770000,5.160000,,,,,,,,,96.888,,,,
,,,N41(100)+N41(40),NR SA,2,55,-105.440000,4.550000,,,,,,,,,54.931,,,,
,,,N41(100)+N41(40),NR SA,2,55,-107.070000,4.710000,,,,,,,,,32.038,,,,
,,,N41(100)+N41(40),NR SA,2,55,-104.700000,4.280000,,,,,,,,,37.195,,,,
,,,N41(100)+N41(40),NR SA,2,55,-102.930000,5.920000,,,,,,,,,34.626,,,,
,,,N41(100)+N41(40),NR SA,2,55,-103.330000,5.750000,,,,,,,,,35.922,,,,
,,,N41(100)+N41(40),NR SA,2,55,-104.020000,4.640000,,,,,,,,,36.006,,,,
,,,N41(100)+N41(40),NR SA,2,55,-106.280000,4.580000,,,,,,,,,37.171,,,,
,,,N41(100)+N41(40),NR SA,2,55,-104.940000,5.960000,,,,,,,,,37.101,,,,
,,,N41(100)+N41(40),NR SA,2,55,-104.770000,5.700000,,,,,,,,,37.854,,,,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N41(100)+N41(40),NR SA,2,55,-105.870000,5.920000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,55,-106.130000,4.190000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,55,-105.150000,5.320000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,55,-104.610000,6.410000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,55,-105.070000,4.620000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,55,-106.660000,4.250000,,,,,,,,,,,,,
,,,N41(100),,1,55,-105.950000,5.150000,,,,,,,,,,,,,
,,,N41(100),,1,55,-110.920000,3.650000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,431,-111.310000,-5.500000,,,,,,,,,,,,,
,,,N41(100),,1,214,-111.390000,-6.580000,,,,,,,,,,,,,
,,,N25(20),,1,75,-109.160000,-1.840000,,,,,,,,,,,,,
,,,N25(20),,1,75,-109.290000,-6.990000,,,,,,,,,,,,,
,,,N25(20),,1,75,-111.580000,-7.530000,,,,,,,,,,,,,
,,,N25(20),,1,75,-109.000000,-5.840000,,,,,,,,,,,,,
,,,N25(20),,1,75,-109.910000,-8.670000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-110.300000,-7.790000,,,,,,,,,,,,,
,,,N25(20),,1,872,-112.370000,-11.360000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.860000,-6.460000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-110.180000,-6.470000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.200000,-3.590000,,,,,,,,,,,,,
,,,N25(20),,1,872,-110.660000,-6.720000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.430000,-3.690000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-110.040000,-6.580000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.560000,-5.250000,,,,,,,,,,,,,
,,,N25(20),,1,872,-109.500000,-5.010000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.980000,0.600000,,,,,,,,,,,,,
,,,N25(20),,1,872,-113.120000,-8.340000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.910000,-2.450000,,,,,,,,,,,,,
,,,N25(20),,1,872,-109.000000,-2.930000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.110000,0.690000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.590000,-1.900000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.350000,-6.680000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.620000,-7.400000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.610000,-1.390000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-102.660000,3.090000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.700000,-4.650000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.600000,-7.160000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.420000,-6.940000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.860000,0.070000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.580000,-5.490000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.670000,-0.950000,,,,,,,,,,,,,
,,,N25(20),,1,872,-110.160000,-9.620000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.590000,-5.200000,,,,,,,,,,,,,
,,,N25(20),,1,670,-106.100000,-2.110000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,670,-126.550000,-8.740000,,,,,,,,,,,,,
,,,N25(20),,1,670,-118.800000,-5.430000,,,,,,,,,,,,,
,,,N25(20),,1,670,-112.200000,-6.490000,,,,,,,,,,,,,
,,,N25(20),,1,670,-105.790000,-2.880000,,,,,,,,,,,,,
,,,N25(20),,1,670,-107.400000,-2.580000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.880000,-4.290000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,670,-107.500000,-2.870000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.840000,-5.220000,,,,,,,,,,,,,
,,,N25(20),,1,670,-116.200000,-11.530000,,,,,,,,,,,,,
,,,N25(20),,1,670,-111.530000,-4.580000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.960000,-4.850000,,,,,,,,,,,,,
,,,N25(20),,1,670,-112.380000,-10.060000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,670,-105.700000,-2.360000,,,,,,,,,,,,,
,,,N25(20),,1,670,-112.860000,-9.810000,,,,,,,,,,,,,
,,,N25(20),,1,670,-107.100000,-4.970000,,,,,,,,,,,,,
,,,N25(20),,1,670,-110.970000,-4.550000,,,,,,,,,,,,,
,,,N25(20),,1,670,-111.170000,-5.650000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.560000,-9.710000,,,,,,,,,,,,,
,,,N25(20),,1,670,-112.430000,-6.680000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.640000,-6.320000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.940000,-4.190000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,670,-110.930000,-10.370000,,,,,,,,,,,,,
,,,N25(20),,1,670,-116.980000,-10.710000,,,,,,,,,,,,,
,,,N25(20),,1,670,-134.390000,-14.750000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N25(20),NR SA,1,670,-109.280000,-3.900000,,,,,,,,,,,,,
,,,N25(20),NR SA,1,670,-111.450000,-4.700000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.890000,-5.380000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.550000,-5.550000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-108.390000,-3.320000,,,,,,,,,2.257,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.960000,-5.470000,,,,,,,,,3.885,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-108.780000,-7.990000,,,,,,,,,4.583,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-109.110000,-6.890000,,,,,,,,,5.249,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-108.020000,-5.190000,,,,,,,,,4.971,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-106.580000,-4.830000,,,,,,,,,5.636,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-105.270000,-0.960000,,,,,,,,,10.105,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-103.870000,-0.860000,,,,,,,,,8.719,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-105.150000,-3.310000,,,,,,,,,5.592,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-105.750000,-2.080000,,,,,,,,,3.200,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.960000,-1.410000,,,,,,,,,3.994,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.840000,-3.100000,,,,,,,,,5.412,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-106.910000,-5.670000,,,,,,,,,5.063,,,,
