[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(10),,1,75,-108.320000,-3.870000,,,,,,,,,,,,,
,,,N25(10),,1,872,-108.560000,-3.680000,,,,,,,,,,,,,
,,,N25(10),,1,872,-105.750000,-2.950000,,,,,,,,,,,,,
,,,N25(10),,1,872,-104.760000,-3.140000,,,,,,,,,,,,,
,,,N25(10),,1,872,-105.820000,-2.650000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N25(10),,0,872,-105.470000,-2.320000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-107.760000,-2.600000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-109.900000,-3.830000,,,,,,,,,,,,0.788000,0.003000
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-110.530000,-3.680000,,,,,,,,,5.107,,,6.884000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-110.230000,-4.220000,,,,,,,,,10.218,,,12.783000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-110.140000,-4.070000,,,,,,,,,14.585,,,16.684000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-110.060000,-2.990000,,,,,,,,,17.375,,,16.209000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.430000,-2.900000,,,,,,,,,9.471,,,13.087000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.320000,-3.340000,,,,,,,,,31.379,,,31.443000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-108.510000,-2.190000,,,,,,,,,25.993,,,26.029000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-110.280000,-3.370000,,,,,,,,,19.038,,,24.113000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-110.450000,-3.640000,,,,,,,,,11.202,,,10.385000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.600000,-2.230000,,,,,,,,,13.617,,,9.190000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-106.800000,-0.540000,,,,,,,,,8.508,,,20.498000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-106.170000,0.230000,,,,,,,,,28.270,,,23.538000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-107.750000,-1.230000,,,,,,,,,19.506,,,22.536000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-108.070000,-1.260000,,,,,,,,,25.641,,,26.279000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-107.850000,-0.670000,,,,,,,,,37.381,,,46.535000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-108.160000,-1.160000,,,,,,,,,49.942,,,45.919000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.040000,-4.160000,,,,,,,,,19.655,,,26.623000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-110.010000,-2.870000,,,,,,,,,38.599,,,45.246000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.280000,-1.560000,,,,,,,,,49.899,,,43.913000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.970000,-3.140000,,,,,,,,,45.873,,,51.227000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-110.690000,-3.500000,,,,,,,,,41.608,,,36.724000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-111.070000,-4.010000,,,,,,,,,36.777,,,51.885000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-113.830000,-7.490000,,,,,,,,,53.408,,,45.868000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-113.920000,-6.840000,,,,,,,,,18.845,,,13.829000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-112.450000,-5.960000,,,,,,,,,29.015,,,40.285000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-111.240000,-5.970000,,,,,,,,,30.439,,,22.124000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-112.090000,-6.050000,,,,,,,,,8.273,,,14.710000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.950000,-2.910000,,,,,,,,,12.195,,,7.590000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.000000,-2.470000,,,,,,,,,9.245,,,8.132000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.090000,-3.650000,,,,,,,,,9.375,,,10.226000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-108.570000,-3.470000,,,,,,,,,10.549,,,12.119000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-109.310000,-4.090000,,,,,,,,,12.578,,,13.808000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-108.620000,-3.070000,,,,,,,,,5.093,,,9.437000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-108.520000,-2.840000,,,,,,,,,15.946,,,17.074000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-107.070000,-2.010000,,,,,,,,,17.240,,,15.228000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-106.870000,-0.120000,,,,,,,,,17.169,,,18.121000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,2,872,-107.490000,-1.220000,,,,,,,,,2.664,,,23.708000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-106.850000,-0.780000,,,,,,,,,24.540,,,1.397000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.700000,-1.780000,,,,,,,,,18.098,,,20.735000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.300000,-3.720000,,,,,,,,,19.621,,,22.008000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.870000,-2.270000,,,,,,,,,15.348,,,17.571000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.120000,-3.950000,,,,,,,,,12.997,,,22.626000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.000000,-5.280000,,,,,,,,,17.400,,,19.384000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.380000,-2.970000,,,,,,,,,27.447,,,15.702000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.710000,-2.950000,,,,,,,,,20.553,,,20.509000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.660000,-2.640000,,,,,,,,,21.098,,,22.246000,
