[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N71(20),NR SA,80,-97.790000,0.560000,,,,,,,,,,,,,0.000,
,,,N71(20),NR SA,80,-97.280000,1.290000,,,,,,,,,,,,,0.000,
,,,N71(20),NR SA,80,-97.340000,1.960000,,,,,,,,,,,,,0.000,
,,,N71(20),NR SA,80,-96.210000,2.240000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.730000,0.680000,,,,,,,,,,,,,0.379,1.056
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.060000,2.090000,,,,,,,,,,,,,0.947,0.456
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.090000,1.830000,,,,,,,,,,,,,0.714,0.381
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.060000,1.580000,,,,,,,,,,,,,9.990,0.624
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.510000,1.550000,,,,,,,,,,,,,45.504,0.652
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.650000,1.290000,,,,,,,,,,,,,116.449,0.912
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-98.200000,1.480000,,,,,,,,,,,,,308.571,2.144
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.170000,2.120000,,,,,,,,,,,,,501.760,3.025
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.500000,1.240000,,,,,,,,,,,,,185.022,1.247
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.900000,0.740000,,,,,,,,,,,,,0.000,0.001
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.280000,1.070000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.370000,1.450000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.830000,0.840000,,,,,,,,,,,,,0.133,0.254
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.860000,0.800000,,,,,,,,,,,,,0.136,0.269
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.860000,2.040000,,,,,,,,,,,,,0.000,0.104
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-95.630000,1.720000,,,,,,,,,,,,,0.000,0.113
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-95.320000,1.980000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-94.800000,2.250000,,,,,,,,,,,,,0.003,0.172
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-95.920000,1.450000,,,,,,,,,,,,,0.148,1.240
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.350000,0.970000,,,,,,,,,,,,,0.217,0.894
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.620000,0.140000,,,,,,,,,,,,,0.070,0.031
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.900000,-0.460000,,,,,,,,,,,,,0.000,0.006
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.420000,0.280000,,,,,,,,,,,,,0.000,0.259
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.390000,0.420000,,,,,,,,,,,,,0.060,0.085
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-96.730000,0.850000,,,,,,,,,,,,,0.076,0.081
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-97.950000,0.320000,,,,,,,,,,,,,0.020,0.251
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-98.500000,-0.180000,,,,,,,,,,,,,0.000,0.536
,,,N71(20)+N25(x)+N41(x)+N41(x),NR SA,80,-98.550000,-0.590000,,,,,,,,,,,,,0.180,0.119
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,0.000,
,,,N41(40),NR SA,55,-106.800000,6.530000,,,,,,,,,,,,,0.010,0.093
,,,N41(40),NR SA,55,-106.810000,4.590000,,,,,,,,,,,,,0.004,0.076
,,,N41(40),NR SA,55,-109.120000,5.080000,,,,,,,,,,,,,0.072,0.116
,,,N41(40),NR SA,55,-110.660000,4.620000,,,,,,,,,,,,,0.250,0.213
,,,N25(40),NR SA,75,-109.570000,-0.220000,,,,,,,,,,,,,0.217,0.177
,,,N25(40),NR SA,75,-109.950000,-2.460000,,,,,,,,,,,,,0.261,0.199
,,,N25(40),NR SA,75,-110.960000,-1.310000,,,,,,,,,,,,,0.011,0.121
,,,N25(40),NR SA,75,-113.480000,-5.930000,,,,,,,,,,,,,0.001,0.065
,,,N25(40),NR SA,75,-115.740000,-6.170000,,,,,,,,,,,,,0.005,0.045
,,,N25(40),NR SA,75,-115.570000,-6.640000,,,,,,,,,,,,,0.000,0.117
,,,N71(40),NR SA,80,-97.210000,2.680000,,,,,,,,,,,,,0.012,0.017
,,,N71(40),NR SA,80,-93.440000,3.800000,,,,,,,,,,,,,0.000,0.059
,,,N71(40),NR SA,80,-94.410000,3.770000,,,,,,,,,,,,,0.000,
,,,N71(40),NR SA,80,-93.890000,4.460000,,,,,,,,,,,,,0.000,
,,,N71(40),NR SA,80,-93.740000,4.410000,,,,,,,,,,,,,0.000,
,,,N71(40),NR SA,80,-94.560000,3.450000,,,,,,,,,,,,,0.249,0.479
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-95.540000,2.520000,,,,,,,,,,,,,32.990,0.764
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-96.970000,0.940000,,,,,,,,,,,,,82.246,0.712
