[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.130000,-4.630000,,,,,,,,,,,,,0.006,0.019
,,,N25(20)+N71(20)+N41(100),NR SA,75,-112.750000,-7.280000,,,,,,,,,,,,,0.067,0.033
,,,N25(20)+N71(20)+N41(100),NR SA,75,-113.770000,-6.090000,,,,,,,,,,,,,0.009,0.015
,,,N25(20),NR SA,75,-114.870000,-5.940000,,,,,,,,,,,,,0.009,0.002
,,,N25(20),NR SA,75,-113.180000,-3.070000,,,,,,,,,,,,,0.011,0.009
,,,N25(20),NR SA,75,-109.230000,-0.750000,,,,,,,,,,,,,0.003,0.006
,,,N25(20),NR SA,75,-111.150000,-5.360000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,75,-113.180000,-5.340000,,,,,,,,,,,,,0.006,0.013
,,,,No Service,,,,,,,,,,,,,,,,,0.003
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,N25(20),NR SA,670,-108.520000,0.470000,,,,,,,,,,,,,0.001,0.049
,,,N25(20),NR SA,670,-112.010000,-2.680000,,,,,,,,,,,,,0.015,0.016
,,,N25(20),NR SA,670,-114.660000,-4.040000,,,,,,,,,,,,,0.015,0.073
,,,N71(20),NR SA,670,-100.630000,-2.340000,,,,,,,,,,,,,0.093,0.130
,,,N71(20),NR SA,670,-98.120000,-1.960000,,,,,,,,,,,,,0.119,0.139
,,,N71(20)+N25(20)+N41(90),NR SA,670,-98.880000,-2.380000,,,,,,,,,,,,,0.331,0.231
,,,N71(20)+N25(20)+N41(90),NR SA,670,-96.770000,0.140000,,,,,,,,,,,,,0.431,0.322
,,,N71(20)+N25(20)+N41(90),NR SA,670,-97.000000,-1.540000,,,,,,,,,,,,,4.533,0.305
,,,N71(20)+N25(20)+N41(90),NR SA,670,-98.190000,-2.800000,,,,,,,,,,,,,10.721,0.158
,,,N71(20)+N25(20)+N41(90),NR SA,670,-97.900000,-3.360000,,,,,,,,,,,,,9.071,0.122
,,,N71(20)+N25(20)+N41(90),NR SA,670,-99.400000,-3.470000,,,,,,,,,,,,,10.598,0.116
,,,N71(20)+N25(20)+N41(90),NR SA,670,-99.990000,-3.290000,,,,,,,,,,,,,6.440,0.132
,,,N71(20)+N25(20)+N41(90),NR SA,670,-98.820000,-2.090000,,,,,,,,,,,,,8.579,0.115
,,,N71(20)+N25(20)+N41(90),NR SA,670,-96.980000,-0.340000,,,,,,,,,,,,,22.338,0.160
,,,N71(20)+N25(20)+N41(90),NR SA,670,-95.080000,0.660000,,,,,,,,,,,,,27.022,0.228
,,,N71(20)+N25(20)+N41(90),NR SA,670,-94.320000,1.080000,,,,,,,,,,,,,52.910,0.355
,,,N71(20)+N25(20)+N41(90),NR SA,670,-95.010000,0.840000,,,,,,,,,,,,,120.221,0.747
,,,N71(20)+N25(20)+N41(90),NR SA,670,-95.650000,0.350000,,,,,,,,,,,,,0.934,0.111
,,,N71(20)+N25(20)+N41(90),NR SA,670,-96.750000,-1.650000,,,,,,,,,,,,,15.505,0.266
,,,N71(20)+N25(20)+N41(90),NR SA,670,-97.490000,-2.780000,,,,,,,,,,,,,30.360,0.317
,,,N71(20)+N25(20)+N41(90),NR SA,670,-99.540000,-4.740000,,,,,,,,,,,,,14.288,0.116
,,,N71(20)+N25(20)+N41(90),NR SA,670,-100.080000,-5.340000,,,,,,,,,,,,,0.028,0.039
