IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,,,2025-09-29 20:58:55.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,,47.128325,-122.356686
2,1,,,-122.3566800,47.1283500,2025-09-29 20:58:56.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-56.340000,,,Rank 1 (RI0),21.720000,,,,,,,,,,,,47.128325,-122.356686
3,1,,,-122.3566800,47.1283500,2025-09-29 20:58:57.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-57.820000,11.000000,1,Rank 1 (RI0),20.690000,,3.833333,0.000000,15.000000,,,,,,,,47.128325,-122.356686
4,1,,,-122.3566800,47.1283500,2025-09-29 20:58:58.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-59.100000,2.500000,1,Rank 1 (RI0),21.040000,,11.600000,0.000000,13.500000,,,,,,,,47.128325,-122.356686
5,1,,,-122.3566800,47.1283500,2025-09-29 20:58:59.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-59.490000,,,Rank 1 (RI0),19.770000,,,0.000000,,,,,,,,,47.128325,-122.356686
6,1,,,-122.3566800,47.1283500,2025-09-29 20:59:00.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-59.560000,,,Rank 1 (RI0),18.240000,,,0.000000,,,,,,,,,47.128325,-122.356686
7,1,,,-122.3566800,47.1283500,2025-09-29 20:59:01.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-62.200000,,,Rank 1 (RI0),15.860000,,,0.000000,,,,,,,,,47.128325,-122.356686
8,1,,,-122.3566800,47.1283500,2025-09-29 20:59:02.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-63.190000,,,Rank 1 (RI0),14.790000,,,0.000000,,,,,,,,,47.128325,-122.356686
9,1,,,-122.3566800,47.1283500,2025-09-29 20:59:03.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-63.420000,,,Rank 1 (RI0),14.570000,,,0.000000,,,,,,,,,47.128325,-122.356686
10,1,,,-122.3566800,47.1283500,2025-09-29 20:59:04.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-62.920000,,,Rank 1 (RI0),15.190000,,,0.000000,,,,,,,,,47.128325,-122.356686
11,1,,,-122.3566800,47.1283500,2025-09-29 20:59:05.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-63.060000,,,Rank 1 (RI0),16.280000,,,0.000000,,,,,,,,,47.128325,-122.356686
12,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.383,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,
13,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.383,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,
14,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.398,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,
15,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-62.960000,,,Rank 1 (RI0),17.190000,,,0.000000,,,,,,,,,47.128325,-122.356686
16,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.812,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,INVITE,,,,,
17,1,,,-122.3566800,47.1283500,2025-09-29 20:59:07.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-62.500000,3.800000,1,Rank 1 (RI0),16.480000,,13.105263,0.000000,11.500000,,,,,,,,47.128325,-122.356686
18,1,,,-122.3566800,47.1283500,2025-09-29 20:59:08.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-63.660000,3.500000,2,Rank 2 (RI1),18.910000,13.656039,16.382022,0.000000,11.800000,5.242,10.485,,,,,,47.128326,-122.356683
19,1,,,-122.3566800,47.1283500,2025-09-29 20:59:08.017,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,200 OK,,,,
20,1,,,-122.3566800,47.1283500,2025-09-29 20:59:08.569,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,
21,1,,,-122.3566800,47.1283500,2025-09-29 20:59:09.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-61.490000,2.500000,2,Rank 2 (RI1),22.250000,5.024549,15.288360,0.000000,10.200000,9.437,10.485,,,,,,47.128325,-122.356672
22,1,,,-122.3566800,47.1283500,2025-09-29 20:59:10.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-60.420000,10.900000,2,Rank 2 (RI1),22.680000,1.697606,15.242647,0.000000,10.400000,,,,,,,,47.128318,-122.356657
23,1,,,-122.3566800,47.1283500,2025-09-29 20:59:11.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n71A,125290,587,-61.370000,8.300000,2,Rank 2 (RI1),20.560000,4.823652,15.750636,0.000000,10.500000,15.728,9.437,,,,,,47.128301,-122.356639
24,1,,,-122.3566600,47.1283200,2025-09-29 20:59:12.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128320,-122.356660,n71A,125290,587,-61.480000,-0.100000,2,Rank 2 (RI1),19.940000,1.464684,14.133652,0.000000,9.900000,9.437,10.485,,,,,,47.128274,-122.356630
25,1,,,-122.3566533,47.1283100,2025-09-29 20:59:13.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128310,-122.356653,n71A,125290,587,-62.140000,11.400000,2,Rank 2 (RI1),20.780000,2.491728,14.949875,0.000000,10.100000,10.485,9.437,,,,,,47.128252,-122.356629
26,1,,,-122.3566483,47.1282967,2025-09-29 20:59:14.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128297,-122.356648,n71A,125290,587,-61.970000,1.800000,2,Rank 2 (RI1),21.840000,2.825264,15.973190,0.000000,10.600000,9.437,10.485,,,,,,47.128236,-122.356638
27,1,,,-122.3566467,47.1282783,2025-09-29 20:59:15.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128278,-122.356647,n71A,125290,587,-63.550000,2.900000,2,Rank 2 (RI1),20.140000,4.283818,15.733850,0.000000,10.500000,10.485,9.437,,,,,,47.128212,-122.356642
28,1,,,-122.3566483,47.1282567,2025-09-29 20:59:16.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128257,-122.356648,n71A,125290,587,-62.690000,12.100000,2,Rank 2 (RI1),20.000000,3.754994,13.641304,0.000000,10.500000,10.485,10.485,,,,,,47.128191,-122.356643
29,1,,,-122.3566483,47.1282367,2025-09-29 20:59:17.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128237,-122.356648,n71A,125290,587,-64.060000,0.200000,2,Rank 2 (RI1),19.990000,0.920358,14.900000,0.000000,10.700000,9.437,9.437,,,,,,47.128170,-122.356650
30,1,,,-122.3566517,47.1282217,2025-09-29 20:59:18.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128222,-122.356652,n71A,125290,587,-64.850000,11.600000,2,Rank 2 (RI1),17.880000,0.862054,17.247148,0.000000,9.900000,10.485,10.485,,,,,,47.128153,-122.356658
31,1,,,-122.3566583,47.1282033,2025-09-29 20:59:19.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128203,-122.356658,n71A,125290,587,-68.460000,13.200000,2,Rank 2 (RI1),13.970000,1.352068,17.746269,0.000000,10.100000,9.437,9.437,,,,,,47.128136,-122.356669
32,1,,,-122.3566717,47.1281867,2025-09-29 20:59:20.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128187,-122.356672,n71A,125290,587,-65.300000,9.700000,2,Rank 2 (RI1),17.760000,8.468120,17.646388,0.000000,10.000000,10.485,10.485,,,,,,47.128121,-122.356691
33,1,,,-122.3566917,47.1281700,2025-09-29 20:59:21.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128170,-122.356692,n71A,125290,587,-65.010000,13.900000,2,Rank 2 (RI1),18.620000,1.192211,17.683849,0.000000,10.900000,9.437,9.437,,,,,,47.128107,-122.356726
34,1,,,-122.3567167,47.1281600,2025-09-29 20:59:22.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128160,-122.356717,n71A,125290,587,-65.880000,11.300000,2,Rank 2 (RI1),16.890000,5.692585,16.723735,0.000000,10.900000,10.485,10.485,,,,,,47.128102,-122.356768
35,1,,,-122.3567550,47.1281550,2025-09-29 20:59:23.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128155,-122.356755,n71A,125290,587,-65.860000,13.500000,1,Rank 1 (RI0),17.760000,1.362201,14.463259,0.000000,13.400000,9.437,10.485,,,,,,47.128104,-122.356821
36,1,,,-122.3568050,47.1281550,2025-09-29 20:59:24.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128155,-122.356805,n71A,125290,587,-68.160000,14.000000,2,Rank 2 (RI1),14.000000,3.160623,16.426415,0.000000,11.000000,10.485,9.437,,,,,,47.128102,-122.356878
37,1,,,-122.3568633,47.1281550,2025-09-29 20:59:25.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128155,-122.356863,n71A,125290,587,-69.350000,6.900000,2,Rank 2 (RI1),12.300000,2.094194,15.234694,0.000000,10.900000,9.437,10.485,,,,,,47.128103,-122.356933
38,1,,,-122.3569217,47.1281567,2025-09-29 20:59:26.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128157,-122.356922,n71A,125290,587,-67.400000,12.700000,1,Rank 2 (RI1),14.350000,2.663155,16.943723,0.000000,12.000000,10.485,9.437,,,,,,47.128103,-122.356985
39,1,,,-122.3569767,47.1281583,2025-09-29 20:59:27.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128158,-122.356977,n71A,125290,587,-67.320000,15.700000,2,Rank 2 (RI1),15.330000,6.341039,17.746888,0.000000,12.000000,10.485,10.485,,,,,,47.128105,-122.357012
40,1,,,-122.3570267,47.1281583,2025-09-29 20:59:28.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128158,-122.357027,n71A,125290,587,-66.770000,15.100000,2,Rank 2 (RI1),15.580000,4.716943,17.659483,0.000000,10.200000,9.437,9.437,,,,,,47.128102,-122.357046
41,1,,,-122.3570667,47.1281583,2025-09-29 20:59:29.000,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128158,-122.357067,n71A,125290,587,-64.850000,11.000000,2,Rank 2 (RI1),19.270000,4.146005,16.164659,0.100000,9.100000,10.485,10.485,,,,,,47.128102,-122.357078
42,1,,,-122.3571017,47.1281617,2025-09-29 20:59:30.039,_20250929_135852_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,4.336838,,,,,,
