[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N25(20),NR SA,670,-110.460000,-4.970000,,,,,,,,,,,,,,,,
,,,N25(20),NR SA,670,-109.540000,-4.310000,,,,,,,,,,,,,,,,
,,,N25(20),NR SA,670,-109.970000,-4.290000,,,,,,,,,78.643,,,,,,,
,,,N25(20),NR SA,670,-109.670000,-3.980000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-109.050000,-3.010000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-109.420000,-3.260000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-109.290000,-3.740000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-110.450000,-4.600000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-111.800000,-5.610000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-113.480000,-6.990000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-112.860000,-6.790000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-111.830000,-5.930000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-111.880000,-6.190000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-111.120000,-5.210000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-111.340000,-5.910000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-109.890000,-3.890000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-108.610000,-2.910000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-111.420000,-6.330000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,670,-112.920000,-7.620000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-109.570000,-2.720000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-108.960000,-1.970000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.890000,1.050000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.970000,0.870000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.850000,1.820000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.440000,1.610000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.100000,2.230000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.780000,1.970000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.240000,2.310000,,,,,,,,,6.291,,,,,,,
,,,N25(20),NR SA,872,-89.380000,1.760000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.400000,1.860000,,,,,,,,,0.000,,,,,,,
,,,N25(20),NR SA,872,-89.750000,1.410000,,,,,,,,,0.000,,,,,,,
,,,,,,,,,,,,,,Upload End Request,,,,,,,,,
,,,,,,,,,,,,,,Upload Ended,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.300000,2.260000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-89.050000,2.300000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-89.000000,2.790000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-89.180000,2.610000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-89.320000,2.370000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-89.890000,1.760000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-90.010000,1.310000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-90.010000,1.610000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-90.240000,1.480000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-89.570000,2.160000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.800000,1.580000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Started,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.020000,1.260000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.330000,1.210000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.080000,1.650000,,,,,,,,,93.323,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.510000,2.160000,,,,,,,,,42.949,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.670000,1.970000,,,,,,,,,37.787,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.050000,1.650000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.790000,1.850000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.610000,2.070000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.530000,1.760000,,,,,,,,,0.000,,,,,,,
