Device,CH1,CH2
DIR,   DL    UL   ,   DL    UL   
Max,4.39  4.38,4.42  4.39
Avg,3.36  3.74,3.90  3.15
Min,1.07  1.07,1.02  0.00
28,  4.31  3.56,  4.32  2.77
27,  4.38  4.35,  4.38  4.31
26,  4.38  4.32,  4.29  4.19
25,  4.00  4.26,  4.28  4.19
24,  4.08  1.10,  4.42  4.18
23,  3.91  4.35,  4.38  4.38
22,  1.26  4.15,  3.61  4.38
21,  4.34  4.27,  4.39  4.35
20,  4.38  4.34,  1.04  1.58
19,  4.29  4.30,  4.33  3.98
18,  1.09  4.25,  4.38  1.15
17,  2.58  4.26,  1.41  1.15
16,  4.39  4.24,  3.15  4.22
15,  4.35  4.21,  4.39  4.27
14,  4.37  4.34,  4.24  4.26
13,  1.11  1.07,  1.02  0.00
12,  4.33  4.17,  4.37  4.02
11,  4.27  1.52,  4.41  4.39
10,  4.35  4.30,  4.32  4.27
9,  1.10  1.12,  4.39  1.36
8,  2.62  2.37,  3.42  1.36
7,  2.22  4.27,  4.36  3.58
6,  1.32  4.25,  4.41  1.47
5,  4.31  4.29,  4.38  1.10
4,  1.07  4.29,  4.16  1.10
3,  2.90  4.29,  4.08  4.03
2,  4.11  4.38,  4.41  3.88
1,  4.39  4.20,  4.37  4.31
