DUT,REF
-1.0,-9.0
-2.0,-10.0
-2.0,-11.25
-2.0,-10.09
-2.0,-10.67
-2.0,-11.33
-3.0,-11.5
-1.75,-11.0
-1.02,-12.0
-2.75,-10.0
-2.96,-11.19
-2.44,-11.72
-2.77,-11.18
-3.71,-9.04
-4.71,-4.96
-2.85,-4.84
0.02,-5.32
1.83,-3.24
5.45,-7.34
2.98,-4.52
7.65,-6.52
9.32,-3.34
12.42,-3.32
9.6,-2.66
11.08,-0.36
10.29,3.72
13.11,7.34
13.66,9.8
14.47,7.72
13.83,9.7
14.9,9.96
15.35,12.1
15.73,12.74
15.47,13.16
15.64,13.5
15.43,13.3
13.67,12.82
12.98,13.7
13.25,13.74
13.43,14.62
13.15,15.02
12.53,12.52
13.62,12.56
12.82,11.58
12.83,10.92
12.0,11.94
10.92,11.82
11.66,12.55
11.12,13.84
10.15,11.58
10.87,12.26
10.23,9.84
10.45,9.84
10.92,9.64
10.49,8.54
11.1,9.0
9.09,9.16
7.67,9.62
8.69,10.08
8.77,9.04
8.33,8.44
7.38,9.28
9.26,7.3
10.04,8.86
9.19,7.84
8.4,7.16
7.04,5.12
4.73,6.88
4.02,9.12
3.51,7.14
4.62,6.68
3.06,5.5
4.79,4.04
5.21,3.48
3.3,3.32
3.59,3.76
3.02,2.6
2.94,1.28
2.09,4.04
1.58,2.12
2.6,1.94
2.16,2.02
1.65,2.42
1.21,1.04
0.09,2.26
0.35,3.08
3.91,1.32
4.88,-0.36
5.94,-1.38
5.58,-1.36
4.13,-0.44
3.51,2.12
2.48,5.68
2.66,5.78
0.79,5.06
0.21,3.1
2.0,1.54
0.96,2.56
1.96,1.26
2.92,1.66
3.7,-1.16
2.87,1.1
3.62,1.7
2.15,1.8
2.09,2.98
0.67,2.96
0.3,3.0
-0.04,2.1
0.04,1.02
-0.04,1.32
-0.26,-2.06
0.02,-1.8
0.07,-0.66
0.1,-0.74
-0.44,-0.42
-2.06,-0.58
-0.35,-0.6
-0.65,-1.38
-0.8,-0.68
-0.63,-0.4
-1.84,-2.58
-2.5,-0.34
-3.77,-0.26
-4.08,-0.88
-5.65,-0.62
-5.75,-1.9
-5.71,-2.96
-4.96,-5.22
-5.43,-4.84
-5.74,-6.6
-7.1,-5.16
-8.43,-4.34
-8.52,-5.6
-7.72,-4.88
-7.24,-4.08
-6.83,-6.1
-6.09,-6.27
-5.04,-5.35
-4.79,-5.47
-3.57,-5.57
-4.1,-6.28
-3.71,-5.72
-3.57,-5.58
-3.63,-3.36
-3.35,-1.74
-4.12,-4.1
-4.23,-2.8
-4.7,-1.4
-4.4,-2.8
-4.13,-2.42
-4.79,-2.94
-3.77,-4.04
-4.26,-3.44
-3.87,-2.72
-4.25,-3.54
-4.02,-3.0
-3.21,-4.38
-3.26,-3.46
-4.34,-3.02
-5.77,-3.42
-5.24,-4.31
-3.75,-4.67
-3.5,-5.38
-5.52,-4.78
-5.57,-6.64
-5.69,-4.38
-6.36,-5.32
-7.7,-6.38
-8.22,-8.0
-8.17,-9.22
-5.06,-8.56
-9.15,-7.3
-8.56,-9.42
-8.93,-10.14
-6.71,-8.16
-8.15,-8.32
-8.34,-11.2
-8.49,-9.02
-8.02,-8.82
-7.87,-8.34
-7.8,-8.44
-7.75,-9.42
-8.26,-10.36
-8.45,-8.62
-8.73,-9.76
-8.96,-7.96
-9.53,-9.94
-8.98,-9.24
-9.51,-8.38
-12.17,-10.82
-10.56,-11.7
-12.04,-11.7
-14.88,-10.16
-9.25,-9.62
-9.67,-9.1
-9.3,-12.1
,-17.14
,-14.34
,-27.94
,-9.98
,-18.56
,-11.76
