[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,872,-112.450000,-2.860000,,,,,,,,,,,,,0.002,0.005
,,,,,872,-107.870000,1.280000,,,,,,,,,,,,,0.000,0.012
,,,N25(20),,872,-109.030000,-3.000000,,,,,,,,,,,,,0.001,0.017
,,,N25(20),,872,-108.720000,-1.050000,,,,,,,,,,,,,0.000,0.013
,,,N25(20),,872,-104.050000,2.930000,,,,,,,,,,,,,0.002,0.012
,,,N25(20),,872,-107.300000,0.180000,,,,,,,,,,,,,0.003,0.005
,,,N25(20),,872,-108.720000,-0.600000,,,,,,,,,,,,,0.000,
,,,N25(20),,872,-109.900000,-1.680000,,,,,,,,,,,,,0.000,
,,,N25(20),,872,-109.290000,0.420000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-105.390000,1.170000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-105.050000,0.880000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-106.900000,1.070000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-106.010000,3.240000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-105.960000,2.600000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-103.560000,2.040000,,,,,,,,,,,,,0.001,0.006
,,,N25(20),NR SA,872,-106.920000,2.250000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-108.950000,-0.530000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-108.610000,1.540000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-105.840000,0.160000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-106.580000,1.670000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-108.210000,-0.880000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-111.430000,-1.960000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-107.520000,3.540000,,,,,,,,,,,,,0.082,0.070
,,,N25(20),NR SA,872,-104.690000,4.000000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,872,-103.300000,5.960000,,,,,,,,,,,,,0.000,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
