IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc),[NR5G] [RF] RSRP
1,1,,,-121.9331797,47.5260307,2026-01-27 02:44:57.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-63.000000,2437,25,,,,IWLAN,-123.160000
2,1,,,-121.9331797,47.5260307,2026-01-27 02:44:58.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-63.000000,2437,17,,,,IWLAN,-125.110000
3,1,,,-121.9331797,47.5260307,2026-01-27 02:44:59.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-63.000000,2437,17,,,,IWLAN,
4,1,,,-121.9331797,47.5260307,2026-01-27 02:45:00.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,Connected,,,,,,,IWLAN,-121.270000
5,1,,,-121.9331797,47.5260307,2026-01-27 02:45:01.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-62.000000,2437,17,,,,IWLAN,-117.540000
6,1,,,-121.9331797,47.5260307,2026-01-27 02:45:02.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-61.000000,2437,17,,,,IWLAN,
7,1,,,-121.9331797,47.5260307,2026-01-27 02:45:03.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-61.000000,2437,17,,,,IWLAN,-116.800000
8,1,,,-121.9331797,47.5260307,2026-01-27 02:45:04.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-61.000000,2437,17,,,,IWLAN,
9,1,,,-121.9331797,47.5260307,2026-01-27 02:45:05.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-61.000000,2437,17,,,,IWLAN,-114.870000
10,1,,,-121.9331797,47.5260307,2026-01-27 02:45:06.000,_20260126_184454_CH01_TMO_5GNR_WFC_DUT_TC-172-R3.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-61.000000,2437,17,,,,IWLAN,
