[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,902,-68.480000,22.160000,,,,,,,,,,,,,0.001,0.205
,,,N41(40),NR SA,902,-65.500000,20.450000,,,,,,,,,,,,,0.005,0.118
,,,N41(40),NR SA,902,-66.080000,17.550000,,,,,,,,,,,,,0.102,0.277
,,,N41(40),NR SA,902,-74.050000,19.140000,,,,,,,,,,,,,0.355,0.364
,,,N41(40),NR SA,902,-75.860000,17.020000,,,,,,,,,,,,,0.019,0.112
,,,N41(40),NR SA,902,-70.860000,15.550000,,,,,,,,,,,,,0.004,0.321
,,,N41(40),NR SA,902,-67.200000,17.070000,,,,,,,,,,,,,0.000,
,,,N41(40),NR SA,902,-65.580000,18.860000,,,,,,,,,,,,,0.000,
,,,N41(40),NR SA,902,-69.170000,17.940000,,,,,,,,,,,,,0.005,0.118
,,,N41(40),NR SA,902,-61.930000,21.170000,,,,,,,,,,,,,0.000,0.204
,,,N41(40),NR SA,902,-60.860000,20.920000,,,,,,,,,,,,,0.000,0.824
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-64.350000,20.880000,,,,,,,,,,,,,13.862,0.993
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-67.630000,19.660000,,,,,,,,,,,,,319.640,2.233
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-67.750000,19.120000,,,,,,,,,,,,,542.682,3.639
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-67.530000,18.190000,,,,,,,,,,,,,266.074,3.023
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-63.160000,19.800000,,,,,,,,,,,,,0.000,
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-63.440000,18.990000,,,,,,,,,,,,,0.326,0.717
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-67.560000,17.550000,,,,,,,,,,,,,0.043,0.009
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-63.870000,20.000000,,,,,,,,,,,,,0.000,0.001
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-63.360000,19.580000,,,,,,,,,,,,,0.000,
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-63.500000,19.980000,,,,,,,,,,,,,0.002,0.504
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-66.410000,20.550000,,,,,,,,,,,,,0.002,0.540
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(x),NR SA,902,-63.810000,19.530000,,,,,,,,,,,,,0.000,0.000
,,,N41(40),NR SA,902,-64.190000,19.160000,,,,,,,,,,,,,0.012,0.063
,,,N41(40),NR SA,902,-62.240000,22.410000,,,,,,,,,,,,,0.082,0.234
,,,N41(40),NR SA,902,-66.050000,19.230000,,,,,,,,,,,,,0.339,0.376
,,,N41(40),NR SA,902,-65.210000,19.360000,,,,,,,,,,,,,0.066,0.105
,,,N41(40),NR SA,902,-64.690000,17.680000,,,,,,,,,,,,,0.005,0.061
,,,N41(40),NR SA,902,-66.080000,16.150000,,,,,,,,,,,,,0.000,0.394
,,,N41(40),NR SA,902,-64.980000,16.300000,,,,,,,,,,,,,0.000,
,,,N41(40),NR SA,902,-66.000000,14.990000,,,,,,,,,,,,,0.005,0.011
,,,N41(40),NR SA,902,-67.110000,15.130000,,,,,,,,,,,,,0.000,0.021
,,,N41(40),NR SA,902,-66.690000,17.560000,,,,,,,,,,,,,0.008,0.621
,,,N41(40),NR SA,902,-70.900000,17.490000,,,,,,,,,,,,,0.488,0.459
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-70.400000,17.370000,,,,,,,,,,,,,88.475,1.411
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-71.750000,18.000000,,,,,,,,,,,,,361.974,2.262
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-71.630000,19.570000,,,,,,,,,,,,,491.769,3.317
