Device,MO DUT,MT DUT,MO REF,MT REF
1,-53.0,-55.0,-58.0,-57.0
2,-51.0,-55.0,-58.0,-57.0
3,-51.0,-56.0,-58.0,-57.0
4,-51.0,-56.0,-58.0,-57.0
5,-53.0,-56.0,-59.0,-57.0
6,-53.0,-55.0,-59.0,-57.0
7,-53.0,-55.0,-59.0,-57.0
8,-54.0,-55.0,-58.0,-57.0
9,-54.0,-53.0,-58.0,-57.0
10,-54.0,-53.0,-58.0,-56.0
11,-54.0,-53.0,-58.5,-56.0
12,-54.0,-55.0,-59.0,-56.0
13,-54.0,-55.0,-59.0,-57.0
14,-53.0,-55.0,-59.0,-57.0
15,-53.0,-53.0,-62.0,-57.0
16,-53.0,-53.0,-62.0,-55.0
17,-55.0,-53.0,-62.0,-55.0
18,-55.0,-54.0,-62.0,-55.0
19,-55.0,-54.0,-62.0,-55.0
20,-54.0,-54.0,-63.0,-55.0
21,-54.0,-51.0,-63.0,-55.0
22,-54.0,-51.0,-63.0,-58.0
23,-50.0,-51.0,-62.0,-58.0
24,-50.0,-50.0,-62.0,-58.0
25,-50.0,-50.0,-62.0,-59.0
26,-50.0,-50.0,-61.0,-59.0
27,-50.0,-50.0,-61.0,-59.0
28,-50.0,-50.0,-61.0,-59.0
29,-50.0,-50.0,-62.0,-59.0
30,-50.0,-52.0,-62.0,-59.0
31,-50.0,-52.0,-62.0,-58.0
32,-51.0,-52.0,-61.0,-58.0
33,-51.0,-54.0,-61.0,-58.0
34,-51.0,-54.0,-61.0,-61.0
35,-49.0,-54.0,-61.0,-61.0
36,-49.0,-50.0,-61.0,-61.0
37,-49.0,-50.0,-61.0,-61.0
38,-49.0,-50.0,-61.0,-61.0
39,-49.0,-53.0,-61.0,-61.0
40,-49.0,-53.0,-61.0,-62.0
41,-50.0,-53.0,-61.0,-62.0
42,-50.0,-53.0,-61.0,-62.0
43,-50.0,-53.0,-61.0,-61.0
44,-48.0,-53.0,-61.0,-61.0
45,-48.0,-54.0,-61.0,-61.0
46,-48.0,-54.0,-61.0,-61.0
47,-50.0,-54.0,-61.0,-61.0
48,-50.0,-55.0,-61.0,-61.0
49,-50.0,-55.0,-61.0,-62.0
50,-49.0,-55.0,-61.0,-62.0
51,-49.0,-51.0,-61.0,-62.0
52,-49.0,-51.0,-61.0,-62.0
53,-49.0,-51.0,-61.0,-62.0
54,-49.0,-52.0,-61.0,-62.0
55,-49.0,-52.0,-61.0,-62.0
56,-48.0,-52.0,-61.0,-62.0
57,-48.0,-52.0,-61.0,-62.0
58,-48.0,-52.0,-61.0,-61.0
59,-43.0,-52.0,-61.0,-61.0
60,-43.0,-54.0,-61.0,-61.0
61,-43.0,-54.0,-61.0,-61.0
62,-46.0,-54.0,-61.0,-61.0
63,-46.0,-55.0,-61.0,-61.0
64,-46.0,-55.0,-61.0,-61.0
65,-49.0,-55.0,-61.0,-61.0
66,-49.0,-49.0,-61.0,-61.0
67,-49.0,-49.0,-61.0,-62.0
68,-49.0,-49.0,-61.0,-62.0
69,-49.0,-55.0,-61.0,-62.0
70,-49.0,-55.0,-61.0,-60.0
71,-47.0,-55.0,-61.0,-60.0
72,-47.0,-54.0,-61.0,-60.0
73,-47.0,-54.0,-61.0,-61.0
74,-50.0,-54.0,-61.0,-61.0
75,-50.0,-48.0,-61.0,-61.0
76,-50.0,-48.0,-61.0,-61.0
77,-47.0,-48.0,-61.0,-61.0
78,-47.0,-53.0,-61.0,-61.0
79,-47.0,-53.0,-61.0,-61.0
80,-50.0,-53.0,-61.0,-61.0
81,-50.0,-55.0,-61.0,-61.0
82,-50.0,-55.0,-61.0,-61.0
83,-48.0,-55.0,-61.0,-61.0
84,-48.0,-52.0,-61.0,-61.0
85,-48.0,-52.0,-61.0,-61.0
86,-48.0,-52.0,-61.0,-61.0
87,-48.0,-51.0,-61.0,-62.0
88,-48.0,-51.0,-61.0,-62.0
89,-50.0,-51.0,-61.0,-61.0
90,-50.0,-54.0,-61.0,-61.0
91,-50.0,-54.0,-61.0,-61.0
92,-50.0,-54.0,-61.0,-61.0
93,-50.0,-53.0,-61.0,-60.0
94,-50.0,-53.0,-61.0,-60.0
95,-49.0,-53.0,-61.0,-60.0
96,-49.0,-54.0,-61.0,-62.0
97,-49.0,-54.0,-61.0,-62.0
98,-49.0,-54.0,-61.0,-62.0
99,-49.0,-54.0,-61.0,-62.0
100,-49.0,-54.0,-61.0,-62.0
101,-47.0,-54.0,-61.0,-62.0
102,-47.0,-54.0,-61.0,-62.0
103,-47.0,-54.0,-61.0,-62.0
104,-49.0,-54.0,-61.0,-60.5
105,-49.0,-44.0,-61.0,-59.0
