Device,DUT,REF
267,-60.0,-56.0
268,-63.0,-56.0
269,-63.0,-56.0
270,-63.0,-56.0
271,-61.0,-73.0
272,-61.0,-73.0
273,-61.0,-73.0
274,-67.0,-72.0
275,-67.0,-72.0
276,-67.0,-72.0
277,-73.0,-67.0
278,-73.0,-67.0
279,-73.0,-67.0
280,-77.0,-69.0
281,-77.0,-69.0
282,-77.0,-69.0
283,-76.0,-69.0
284,-76.0,-69.0
285,-76.0,-69.0
286,-72.0,-67.0
287,-72.0,-67.0
288,-72.0,-67.0
289,-75.0,-65.0
290,-75.0,-65.0
291,-75.0,-65.0
292,-76.0,-65.0
293,-76.0,-65.0
294,-76.0,-65.0
295,-79.0,-28.0
296,-79.0,-28.0
297,-79.0,-28.0
298,-75.0,-28.0
299,-75.0,-28.0
300,-77.0,-28.0
301,-77.0,-28.0
302,-74.0,-28.0
303,-74.0,-28.0
304,-74.0,-28.0
305,-74.0,-28.0
306,-74.0,-28.0
307,-74.0,-28.0
308,-75.0,-28.0
309,-75.0,-28.0
310,-75.0,-28.0
311,-75.0,-28.0
312,-75.0,-28.0
313,-75.0,-28.0
314,-75.0,-28.0
315,-78.0,-28.0
316,-78.0,-28.0
317,-78.0,-28.0
318,-75.0,-28.0
319,-75.0,-67.0
320,-75.0,-67.0
321,-70.0,-69.0
322,-70.0,-69.0
323,-72.0,-69.0
324,-72.0,-69.0
325,-72.0,-69.0
326,-74.0,-69.0
327,-74.0,-70.0
328,-74.0,-70.0
329,-77.0,-70.0
330,-77.0,-70.0
331,-77.0,-70.0
332,-75.0,-70.0
333,-75.0,-70.0
334,-75.0,-70.0
335,-75.0,-70.0
336,-73.0,-70.0
337,-73.0,-70.0
338,-73.0,-70.0
339,-72.0,-70.0
340,-72.0,-70.0
341,-74.0,-54.0
342,-74.0,-54.0
343,-74.0,-54.0
344,-74.0,-56.0
345,-74.0,-56.0
346,-74.0,-56.0
347,-88.0,-54.0
348,-88.0,-54.0
349,-88.0,-54.0
350,-83.0,-51.0
351,-83.0,-51.0
352,-83.0,-51.0
353,-88.0,-54.0
354,-88.0,-54.0
355,-88.0,-54.0
356,-89.0,-52.0
357,-89.0,-52.0
358,-89.0,-52.0
359,-65.0,-52.0
360,-65.0,-52.0
361,-65.0,-52.0
362,-68.0,-53.0
363,-68.0,-53.0
364,-68.0,-53.0
365,-65.0,-52.0
366,-65.0,-52.0
367,-64.5,-52.0
368,-64.0,-55.0
369,-64.0,-55.0
370,-61.0,-55.0
371,-61.0,-56.0
372,-61.0,-56.0
373,-69.0,-56.0
374,-69.0,-56.0
375,-69.0,-56.0
376,-76.0,-57.0
377,-76.0,-57.0
378,-76.0,-57.0
379,-68.0,-58.0
380,-68.0,-58.0
381,-76.0,-58.0
382,-76.0,-58.0
383,-75.0,-58.0
384,-75.0,-58.0
385,-75.0,-62.0
386,-75.0,-62.0
387,-75.0,-62.0
388,-75.0,-73.0
389,-74.0,-73.0
390,-74.0,-73.0
391,-74.0,-71.0
392,-70.0,-71.0
393,-70.0,-63.0
394,-70.0,-63.0
395,-77.0,-63.0
396,-77.0,-63.0
397,-77.0,-75.0
398,-75.0,-75.0
399,-75.0,-75.0
400,-75.0,-79.0
401,-78.0,-79.0
402,-78.0,-79.0
403,-78.0,-79.0
404,-80.0,-87.0
405,-80.0,-87.0
406,-80.0,-87.0
407,-78.0,0.0
408,-78.0,0.0
409,-78.0,-70.0
410,-71.0,-70.0
411,,-70.0
412,,-68.0
413,,-68.0
414,,-68.0
415,,-68.0
416,,-68.0
417,,-68.0
418,,-70.0
419,,-70.0
420,,-70.0
421,,-72.0
422,,-72.0
423,,-72.0
424,,-72.0
425,,-59.0
426,,-59.0
427,,-59.0
428,,-56.0
429,,-56.0
430,,-56.0
431,,-56.0
432,,-56.0
433,,-56.0
434,,-57.0
435,,-57.0
436,,-57.0
437,,-59.0
438,,-59.0
439,,-59.0
440,,-56.0
441,,-56.0
442,,-56.0
443,,-48.0
444,,-48.0
445,,-48.0
446,,-47.0
447,,-47.0
448,,-47.0
449,,-46.0
450,,-46.0
451,,-46.0
452,,-47.0
453,,-47.0
454,,-47.0
455,,-49.0
456,,-49.0
457,,-49.0
458,,-50.0
459,,-50.0
460,,-50.0
461,,-49.0
462,,-49.0
463,,-49.0
464,,-50.0
465,,-50.0
466,,-50.0
467,,-54.0
468,,-54.0
469,,-54.0
470,,-52.0
