Device,MO DUT,MT DUT,MO REF,MT REF
145,-65.0,-68.0,-53.0,-56.0
146,-65.0,-68.0,-53.0,-56.0
147,-64.0,-67.0,-53.0,-56.0
148,-64.0,-67.0,-53.0,-54.0
149,-64.0,-66.0,-51.0,-54.0
150,-63.0,-65.5,-51.0,-54.0
151,-63.0,-65.0,-51.0,-54.0
152,-63.0,-66.0,-53.0,-54.0
153,-63.0,-66.0,-53.0,-54.0
154,-63.0,-65.0,-53.0,-54.0
155,-63.0,-65.0,-52.0,-54.0
156,-63.0,-65.0,-52.0,-54.0
157,-63.0,-65.0,-51.0,-55.0
158,-64.0,-65.0,-51.0,-55.0
159,-64.0,-65.0,-51.0,-56.0
160,-64.0,-65.0,-51.0,-56.0
161,-64.0,-65.0,-51.0,-56.0
162,-63.0,-65.0,-51.0,-52.0
163,-63.0,-64.0,-51.0,-52.0
164,-60.0,-64.0,-51.0,-52.0
165,-60.0,-64.0,-51.0,-55.0
166,-60.0,-65.0,-51.0,-55.0
167,-63.0,-65.0,-51.0,-55.0
168,-63.0,-65.0,-51.0,-56.0
169,-63.0,-65.0,-51.0,-56.0
170,-63.0,-65.0,-51.0,-56.0
171,-63.0,-65.0,-51.0,-57.0
172,-63.0,-65.0,-51.0,-57.0
173,-62.0,-65.0,-51.0,-57.0
174,-62.0,-65.0,-51.0,-56.0
175,-62.0,-65.0,-51.0,-56.0
176,-62.0,-65.0,-51.0,-56.0
177,-62.0,-65.0,-51.0,-57.0
178,-62.0,-65.0,-51.0,-57.0
179,-65.0,-65.0,-51.0,-57.0
180,-65.0,-65.0,-51.0,-57.0
181,-65.0,-65.0,-51.0,-57.0
182,-64.0,-65.0,-51.0,-57.0
183,-64.0,-65.0,-51.0,-57.0
184,-65.0,-65.0,-51.0,-57.0
185,-65.0,-65.0,-51.0,-57.0
186,-65.0,-65.0,-51.0,-58.0
187,-64.0,-65.0,-51.0,-58.0
188,-64.0,-65.0,-51.0,-57.0
189,-64.0,-65.0,-51.0,-56.0
190,-64.0,-65.0,-51.0,-55.5
191,-64.0,-65.0,-51.0,-55.0
192,-64.0,-65.0,-51.0,-55.0
193,-64.0,-65.0,-51.5,-55.0
194,-64.0,-65.0,-52.0,-55.0
195,-64.0,-65.0,-53.0,-56.0
196,-64.0,-65.0,-53.0,-56.0
197,-64.0,-65.0,-52.0,-56.0
198,-64.0,-65.0,-51.0,-57.0
199,-64.0,-65.0,-50.0,-57.0
200,-64.0,-65.0,-50.0,-57.0
201,-64.0,-65.0,-51.0,-58.0
202,-64.0,-65.0,-51.0,-58.0
203,-64.0,-65.0,-54.0,-58.0
204,-65.0,-65.0,-53.5,-58.0
205,-65.0,-65.0,-53.0,-56.0
206,-65.0,-65.0,-53.0,-56.0
207,-65.0,-65.0,-53.0,-57.0
208,-65.0,-65.0,-53.0,-58.0
209,-63.5,-65.0,-53.0,-58.0
210,-62.0,-63.0,-53.0,-58.0
211,-59.0,-63.0,-54.0,-58.0
212,-59.0,-63.0,-54.0,-58.0
213,-59.0,-64.0,-54.0,-59.0
214,-58.0,-64.0,-54.0,-59.0
215,-58.0,-64.0,-54.0,-59.0
216,-58.0,-64.0,-54.0,-58.0
217,-58.0,-64.0,-52.0,-58.0
218,-58.0,-64.0,-52.5,-58.0
219,-62.0,-66.0,-53.0,-56.0
220,-61.0,-66.0,-53.0,-56.0
221,-60.0,-66.0,-53.0,-56.0
222,-60.0,-66.0,-53.0,-58.0
223,-61.0,-66.0,-54.0,-58.0
224,-61.0,-66.0,-54.0,-58.0
225,-61.0,-66.0,-54.0,-57.0
226,-61.0,-66.0,-48.0,-57.0
227,-63.0,-66.0,-48.0,-57.0
228,-63.0,-64.0,-48.0,-59.0
229,-63.0,-64.0,-54.0,-59.0
230,-64.0,-64.0,-54.0,-59.0
231,-64.0,-64.0,-54.0,-57.0
232,-68.0,-64.0,-54.0,-57.0
233,-67.0,-64.0,-54.0,-57.0
234,-66.0,-66.0,-54.0,-57.0
235,-65.5,-66.0,-54.0,-57.0
236,-65.0,-66.0,-54.0,-57.0
237,-66.0,-67.0,-54.0,-57.0
238,-66.0,-67.0,-54.0,-57.0
239,-66.0,-67.0,-54.0,-57.0
240,-66.0,-66.0,-54.0,-54.0
241,-66.0,-66.0,-54.0,-54.0
242,-65.0,-66.0,-54.0,-54.0
243,-65.0,-66.0,-54.0,-58.0
244,-65.0,-66.0,-54.0,-58.0
245,-65.0,-66.0,-54.0,-58.0
246,-65.0,-66.0,-54.0,-57.0
247,-65.0,-66.0,-54.0,-57.0
248,-65.0,-66.0,-54.0,-57.0
249,-64.0,-66.0,-54.0,-54.0
250,-64.0,-66.0,-54.0,-54.0
251,-64.0,-66.0,-54.0,-54.0
252,-65.0,-66.0,-54.0,-57.0
253,-65.0,-66.0,-54.0,-57.0
254,-65.0,-66.0,-54.0,-57.0
255,-66.0,-66.0,-54.0,-56.0
256,-66.0,-66.0,-54.0,-56.0
257,-66.0,-66.0,-54.0,-56.0
258,-65.0,-66.0,-54.0,-58.0
259,-65.0,-66.0,-54.0,-58.0
260,-65.0,-66.0,-54.0,-58.0
261,-65.0,-66.0,-54.0,-58.0
262,-65.0,-66.0,-54.0,-58.0
263,-65.0,-66.0,-54.0,-58.0
264,-65.0,-66.0,-54.0,-57.0
265,-65.0,-66.0,-54.0,-57.0
266,-65.0,-66.0,-54.0,-57.0
267,-65.0,-66.0,-54.0,-55.0
268,-65.0,-66.0,-54.0,-55.0
269,-65.0,-66.0,-54.0,-55.0
270,-65.0,-66.0,-54.0,-54.0
271,-65.0,-66.0,-54.0,-54.0
272,-65.0,-66.0,-54.0,-54.0
273,-65.0,-66.0,-54.0,-57.0
274,-65.0,-66.0,-54.0,-57.0
275,-65.0,-66.0,-54.0,-57.0
276,-66.0,-66.0,-54.0,-54.0
277,-66.0,-66.0,-54.0,-54.0
278,-66.0,-66.0,-54.0,-54.0
279,-65.0,-66.0,-54.0,-58.0
280,-65.0,-66.0,-54.0,-58.0
281,-65.0,-66.0,-54.0,-58.0
282,-65.0,-66.0,-54.0,-58.0
283,-65.0,-66.0,-54.0,-58.0
284,-65.0,-66.0,-54.0,-58.0
285,-65.0,-66.0,-54.0,-57.0
286,-65.0,-66.0,-54.0,-57.0
287,-65.0,-66.0,-54.0,-57.0
288,-65.0,-66.0,-54.0,-57.0
289,-65.0,-66.0,-54.0,-57.0
290,-65.0,-66.0,-54.0,-57.0
291,-64.0,-66.0,-54.0,-58.0
292,-64.0,-66.0,-54.0,-58.0
293,-64.0,-66.0,-54.0,-58.0
294,-65.0,-66.0,-54.0,-54.0
295,-65.0,-66.0,-54.0,-54.0
296,-65.0,-66.0,-54.0,-54.0
297,-64.0,-66.0,-54.0,-57.0
298,-64.0,-66.0,-53.0,-57.0
299,-64.0,-66.0,-53.0,-57.0
300,-65.0,-66.0,-53.0,-57.0
301,-65.0,-66.0,-54.0,-57.0
302,-65.0,-66.0,-54.0,-57.0
303,-64.0,-66.0,-54.0,-57.0
304,-64.0,-66.0,-53.0,-57.0
305,-64.0,-66.0,-53.0,-57.0
306,-65.0,-66.0,-53.0,-58.0
307,-65.0,-66.0,-54.0,-58.0
308,-65.0,-66.0,-54.0,-57.0
309,-65.0,-66.0,-54.0,-57.0
310,-65.0,-66.0,-53.0,-56.5
311,-65.0,-66.0,-53.0,-56.0
312,-60.0,-66.0,-53.0,-56.0
313,-60.0,-66.0,-53.0,-56.0
314,-60.0,-66.0,-53.0,-56.0
315,-58.0,-66.0,-53.0,-56.0
316,-58.0,-66.0,-54.0,-55.0
317,-58.0,-66.0,-54.0,-55.0
318,-57.0,-66.0,-54.0,-57.0
319,-57.0,-66.0,-53.0,-57.0
320,-57.0,-66.0,-53.0,-57.0
321,-57.0,-66.0,-53.0,-57.0
322,-57.0,-66.0,-53.0,-57.0
323,-57.0,-66.0,-53.0,-56.0
324,-58.0,-66.0,-53.0,-56.0
325,-58.0,-66.0,-54.0,-56.0
326,-58.0,-65.0,-54.0,-56.0
327,-57.0,-65.0,-54.0,-56.0
328,-57.0,-65.0,-53.0,-54.0
329,-57.0,-65.0,-53.0,-54.0
