Device,DUT,REF
267,-61.0,-70.0
268,-63.0,-70.0
269,-63.0,-71.0
270,-63.0,-71.0
271,-60.0,-71.0
272,-60.0,-61.0
273,-60.0,-61.0
274,-60.0,-61.0
275,-60.0,-59.0
276,-60.0,-59.0
277,-70.0,-59.0
278,-70.0,-57.0
279,-75.0,-57.0
280,-75.0,-58.0
281,-75.0,-58.0
282,-73.0,-58.0
283,-73.0,-61.0
284,-73.0,-61.0
285,-74.0,-61.0
286,-74.0,-59.0
287,-74.0,-59.0
288,-74.0,-59.0
289,-74.0,-56.0
290,-74.0,-56.0
291,-71.0,-56.0
292,-71.0,-52.0
293,-71.0,-52.0
294,-72.0,-52.0
295,-72.0,-51.0
296,-72.0,-51.0
297,-73.0,-51.0
298,-73.0,-57.0
299,-73.0,-57.0
300,-74.0,-57.0
301,-74.0,-57.0
302,-74.0,-57.0
303,-73.0,-57.0
304,-73.0,-57.0
305,-73.0,-57.0
306,-74.0,-57.0
307,-74.0,-57.0
308,-74.0,-57.0
309,-74.0,-57.0
310,-74.0,-57.0
311,-78.0,-57.0
312,-78.0,-57.0
313,-78.0,-53.0
314,-77.0,-53.0
315,-77.0,-53.0
316,-77.0,-55.0
317,-72.0,-55.0
318,-72.0,-55.0
319,-72.0,-53.0
320,-75.0,-53.0
321,-75.0,-53.0
322,-76.0,-52.0
323,-76.0,-52.0
324,-76.0,-52.0
325,-72.0,-52.0
326,-72.0,-52.0
327,-72.0,-52.0
328,-75.0,-55.0
329,-75.0,-55.0
330,-75.0,-55.0
331,-73.0,-50.0
332,-73.0,-50.0
333,-73.0,-50.0
334,-76.0,-49.0
335,-76.0,-49.0
336,-76.0,-49.0
337,-74.0,-50.0
338,-74.0,-50.0
339,-74.0,-50.0
340,-79.0,-50.0
341,-79.0,-50.0
342,-79.0,-50.0
343,-52.0,-50.0
344,-52.0,-50.0
345,-52.0,-50.0
346,-52.0,-53.0
347,-52.0,-53.0
348,-52.0,-53.0
349,-55.0,-49.0
350,-55.0,-49.0
351,-55.0,-49.0
352,-50.0,-48.0
353,-50.0,-48.0
354,-50.0,-48.0
355,-44.0,-52.0
356,-44.0,-52.0
357,-44.0,-52.0
358,-47.0,-52.0
359,-47.0,-52.0
360,-47.0,-52.0
361,-51.0,-51.0
362,-51.0,-51.0
363,-51.0,-51.0
364,-52.0,-51.0
365,-52.0,-55.0
366,-52.0,-55.0
367,-49.0,-55.0
368,-49.0,-56.0
369,-49.0,-56.0
370,-46.0,-56.0
371,-46.0,-55.0
372,-46.0,-55.0
373,-45.0,-55.0
374,-45.0,-70.0
375,-45.0,-70.0
376,-50.0,-70.0
377,-50.0,-70.0
378,-50.0,-70.0
379,-60.0,-70.0
380,-60.0,-68.0
381,-60.0,-68.0
382,-63.0,-68.0
383,-63.0,-64.0
384,-63.0,-64.0
385,-59.0,-64.0
386,-59.0,-65.0
387,-59.0,-65.0
388,-64.0,-65.0
389,-64.0,-60.0
390,-64.0,-60.0
391,-61.0,-60.0
392,-61.0,-53.0
393,-61.0,-53.0
394,-53.0,-50.0
395,-53.0,-50.0
396,-53.0,-50.0
397,-51.0,-77.0
398,-51.0,-77.0
399,-51.0,-77.0
400,-74.0,-87.0
401,-74.0,-87.0
402,-74.0,-87.0
403,-76.0,-89.0
404,-76.0,-89.0
405,-74.5,-89.0
406,-73.0,-86.0
407,-73.0,-86.0
408,-75.0,-86.0
409,-75.0,-83.0
410,-75.5,-83.0
411,-76.0,-83.0
412,-76.0,-86.0
413,-76.0,-86.0
414,-68.0,-86.0
415,-68.0,-76.0
416,-62.0,-76.0
417,-62.0,-76.0
418,-62.0,-74.0
419,-59.0,-74.0
420,-59.0,-74.0
421,-59.0,-77.0
422,-60.0,-77.0
423,-60.0,-77.0
424,-66.0,-81.0
425,-66.0,-81.0
426,-64.0,-81.0
427,-64.0,-81.0
428,-64.0,-81.0
429,-63.0,-81.0
430,-63.0,-81.0
431,-63.0,-81.0
432,-62.0,-81.0
433,-62.0,-82.0
434,-62.0,-82.0
435,-62.0,-82.0
436,-62.0,-78.0
437,-62.0,-78.0
438,-65.0,-78.0
439,-65.0,-68.0
440,-65.0,-68.0
441,-62.0,-68.0
442,-62.0,-69.0
443,-62.0,-69.0
444,-56.0,-69.0
445,-56.0,-69.0
446,-56.0,-69.0
447,-51.0,-69.0
448,-51.0,-69.0
449,-51.0,-69.0
450,-48.0,-69.0
451,-48.0,-67.0
452,-48.0,-67.0
453,-57.0,-67.0
454,-57.0,-67.0
455,-57.0,-67.0
456,-52.0,-67.0
457,-52.0,-67.0
458,-52.0,-67.0
459,-51.0,-67.0
460,-51.0,-67.0
461,-51.0,-67.0
462,-54.0,-69.0
463,-54.0,-69.0
464,-54.0,-69.0
465,-56.0,-68.0
466,-56.0,-68.0
467,-56.0,-68.0
468,-50.0,-62.0
469,-50.0,-62.0
470,-50.0,-62.0
471,-46.0,-58.0
472,-46.0,-58.0
473,-46.0,-58.0
474,-55.0,-54.0
475,-55.0,-54.0
476,-55.0,-54.0
477,-54.0,-59.0
478,-54.0,-59.0
479,-54.0,-59.0
480,-54.0,-59.0
481,-54.0,-59.0
482,-54.0,-59.0
483,-49.0,-58.0
484,-49.0,-58.0
485,-49.0,-58.0
486,-54.0,-60.0
487,-54.0,-60.0
488,-54.0,-60.0
489,-43.0,-62.0
490,-43.0,-62.0
491,-43.0,-62.0
492,-45.0,-62.0
493,-45.0,-62.0
494,-45.0,-62.0
495,-46.0,-62.0
496,-46.0,-62.0
497,-46.0,-58.0
498,-48.0,-58.0
499,-48.0,-58.0
500,-48.0,-56.0
501,-48.0,-56.0
502,-48.0,-56.0
503,-48.0,-57.0
504,-50.0,-57.0
505,-50.0,-57.0
506,-50.0,-56.0
507,-49.0,-56.0
508,-49.0,-56.0
509,-49.0,-53.0
510,,-53.0
511,,-53.0
512,,-46.0
513,,-46.0
514,,-46.0
515,,-48.0
516,,-48.0
517,,-48.0
518,,-55.0
519,,-55.0
520,,-55.0
521,,-55.0
522,,-55.0
523,,-55.0
524,,-55.0
525,,-55.0
526,,-55.0
527,,-55.0
528,,-55.0
529,,-55.0
530,,-55.0
531,,-55.0
532,,-55.0
