Device,MO DUT,MT DUT,MO REF,MT REF
1,-59.0,-71.0,-76.0,-71.5
2,-59.0,-71.0,-76.0,-72.0
3,-59.0,-71.0,-76.0,-72.0
4,-59.0,-71.0,-76.0,-72.0
5,-59.0,-71.0,-76.0,-72.0
6,-59.0,-71.0,-76.0,-72.5
7,-56.0,-74.0,-76.0,-73.0
8,-56.0,-74.0,-76.0,-73.0
9,-55.5,-74.0,-76.0,-72.0
10,-55.0,-73.0,-76.0,-72.0
11,-55.0,-73.0,-75.0,-72.0
12,-56.0,-73.0,-74.0,-72.0
13,-56.0,-71.0,-74.0,-72.0
14,-56.0,-71.0,-74.0,-72.0
15,-60.0,-71.0,-74.0,-72.0
16,-60.0,-71.0,-74.0,-72.0
17,-63.0,-71.0,-74.0,-70.0
18,-63.0,-71.0,-74.0,-70.0
19,-65.0,-71.0,-74.0,-70.0
20,-65.0,-71.0,-74.0,-71.0
21,-65.0,-71.0,-75.0,-71.0
22,-67.0,-71.0,-75.5,-72.0
23,-67.0,-71.0,-76.0,-72.0
24,-65.0,-71.0,-76.0,-72.0
25,-65.0,-75.0,-75.0,-70.0
26,-64.5,-75.0,-75.0,-70.0
27,-64.0,-74.0,-75.0,-70.0
28,-64.0,-74.0,-77.0,-71.0
29,-64.0,-74.0,-77.0,-71.0
30,-65.0,-75.0,-77.0,-71.0
31,-65.0,-75.0,-76.0,-71.0
32,-65.0,-75.0,-76.0,-71.0
33,-65.0,-75.0,-75.5,-71.0
34,-63.0,-75.0,-75.0,-71.0
35,-63.0,-75.0,-73.0,-71.0
36,-63.0,-75.0,-73.0,-71.0
37,-63.0,-75.0,-73.0,-71.0
38,-63.0,-74.0,-73.0,-70.0
39,-63.0,-74.0,-73.0,-70.0
40,-63.0,-74.0,-73.0,-71.0
41,-63.0,-74.0,-73.0,-72.0
42,-67.0,-74.0,-73.0,-69.0
43,-67.0,-74.0,-73.0,-69.0
44,-66.0,-74.0,-79.0,-70.0
45,-66.0,-74.5,-79.0,-71.0
46,-66.0,-75.0,-79.0,-72.0
47,-63.0,-75.0,-76.0,-70.5
48,-63.0,-74.0,-76.0,-69.0
49,-63.0,-74.0,-76.0,-70.0
50,-63.0,-73.0,-76.0,-70.0
51,-63.0,-73.0,-76.0,-70.0
52,-63.0,-73.0,-76.0,-69.5
53,-64.0,-73.0,-76.0,-69.0
54,-64.0,-73.0,-76.0,-70.0
55,-64.0,-73.0,-76.0,-70.0
56,-63.0,-73.0,-76.0,-70.0
57,-63.0,-73.0,-76.0,-69.5
58,-63.0,-73.0,-76.0,-69.0
59,-63.0,-73.0,-76.0,-70.0
60,-63.0,-73.0,-76.0,-70.0
61,-63.0,-73.0,-76.0,-71.0
62,-65.0,-73.0,-76.0,-71.0
63,-65.0,-73.0,-76.0,-71.0
64,-65.0,-73.0,-76.0,-72.0
65,-64.0,-73.0,-76.0,-72.0
66,-64.0,-73.0,-76.0,-72.0
67,-64.0,-73.0,-76.0,-72.0
68,-63.0,-73.0,-76.0,-72.0
69,-63.0,-73.0,-76.0,-72.0
70,-63.0,-73.0,-76.0,-69.0
71,-63.0,-73.0,-76.0,-69.0
72,-63.0,-73.0,-76.0,-69.0
73,-63.0,-73.0,-76.0,-69.0
74,-65.0,-73.0,-76.0,-69.0
75,-65.0,-73.0,-76.0,-69.0
76,-65.0,-73.0,-76.0,-69.0
77,-65.0,-73.0,-76.0,-69.0
78,-65.0,-73.0,-76.0,-69.0
79,-65.0,-73.0,-76.0,-69.0
80,-63.0,-73.0,-76.0,-69.0
81,-63.0,-73.0,-76.0,-69.0
82,-63.0,-73.0,-76.0,-69.0
83,-64.0,-73.0,-76.0,-68.0
84,-64.0,-73.0,-76.0,-67.0
85,-64.0,-73.0,-76.0,-67.0
86,-65.0,-73.0,-76.0,-71.0
87,-65.0,-73.0,-76.0,-71.0
88,-65.0,-73.0,-76.0,-71.0
89,-64.0,-73.0,-76.0,-70.0
90,-64.0,-73.0,-76.0,-70.5
91,-64.0,-75.0,-76.0,-71.0
92,-64.0,-75.0,-76.0,-71.0
93,-64.0,-75.0,-76.0,-71.0
94,-64.0,-76.0,-76.0,-71.0
95,-64.0,-76.0,-76.0,-71.0
96,-64.0,-76.0,-76.0,-71.0
97,-64.0,-75.0,-76.0,-71.0
98,-58.0,-75.0,-76.0,-71.0
99,-58.0,-75.0,-76.0,-71.0
100,-58.0,-75.0,-76.0,-71.0
101,-58.0,-75.0,-76.0,-71.0
102,-58.0,-75.0,-72.0,-70.0
103,-58.0,-75.0,-72.0,-70.0
104,-58.0,-75.0,-72.0,-70.0
105,-58.0,-75.0,-78.0,-70.0
106,-58.0,-75.0,-78.0,-70.0
107,-57.0,-75.0,-78.0,-70.0
108,-57.0,-75.0,-76.0,-71.0
109,-57.0,-75.0,-76.0,-71.0
110,-56.0,-75.0,-76.0,-71.0
111,-56.0,-75.0,-77.0,-70.0
112,-56.0,-75.0,-77.0,-70.0
113,-56.0,-75.0,-77.0,-70.0
114,-56.0,-75.0,-74.0,-68.0
115,-56.0,-74.0,-74.0,-68.0
116,-55.0,-74.0,-74.0,-68.0
117,-55.0,-74.0,-76.0,-68.0
118,-55.0,-75.0,-76.0,-68.0
119,-56.0,-75.0,-76.0,-68.0
120,-56.0,-75.0,-76.0,-68.0
121,-56.0,-76.0,-76.0,-68.0
122,-59.0,-76.0,-76.0,-68.0
123,-59.0,-76.0,-78.0,-68.0
124,-59.0,-76.0,-78.0,-68.0
125,-57.0,-76.0,-78.0,-68.0
126,-57.0,-76.0,-78.0,-67.0
127,-57.0,-77.0,-78.0,-67.0
128,-60.0,-77.0,-78.0,-67.0
129,-60.0,-77.0,-78.0,-69.0
130,-60.0,-77.0,-78.0,-69.0
131,-65.0,-77.0,-78.0,-69.0
132,-65.0,-77.0,-77.0,-69.0
133,-65.0,-77.0,-77.0,-69.0
134,-65.0,-77.0,-77.0,-69.0
135,-65.0,-77.0,-78.0,-69.0
136,-65.0,-77.0,-78.0,-69.0
137,-68.0,-77.0,-78.0,-69.0
138,-68.0,-77.0,-75.0,-69.0
139,-68.0,-77.0,-75.0,-69.0
140,-65.0,-77.0,-75.0,-69.0
141,-65.0,-77.0,-75.0,-70.0
142,-65.0,-77.0,-75.0,-70.0
143,-64.0,-77.0,-75.0,-70.0
144,-64.0,-77.0,-76.0,-71.0
145,-64.0,-77.0,-76.0,-71.0
146,-65.0,-77.0,-76.0,-71.0
147,-65.0,-77.0,-77.0,-70.0
148,-65.0,-77.0,-77.0,-70.0
149,-64.0,-77.0,-77.0,-70.0
150,-64.0,-77.0,-75.0,-69.0
151,-64.0,-77.0,-75.0,-69.0
152,-64.0,-77.0,-75.0,-69.0
153,-64.0,-77.0,-74.0,-69.0
154,-64.0,-77.0,-74.0,-69.0
155,-62.0,-77.0,-74.0,-69.0
156,-62.0,-77.0,-75.0,-69.0
157,-62.0,-77.0,-75.0,-69.0
158,-63.0,-77.0,-74.0,-69.0
159,-63.0,-77.0,-74.0,-69.0
160,-63.0,-77.0,-74.0,-69.0
161,-62.0,-77.0,-75.0,-69.0
162,-62.0,-77.0,-75.0,-69.0
163,-62.0,-77.0,-75.0,-69.0
164,-63.0,-77.0,-75.0,-69.0
165,-63.0,-77.0,-75.0,-68.0
166,-63.0,-77.0,-75.0,-68.0
167,-62.0,-77.0,-75.0,-68.0
168,-62.0,-77.0,-75.0,-68.0
169,-62.0,-77.0,-75.0,-68.0
170,-62.0,-77.0,-75.0,-68.0
171,-62.0,-77.0,-75.0,-70.0
172,-62.0,-77.0,-75.0,-70.0
173,-62.0,-77.0,-75.0,-70.0
174,-62.0,-77.0,-75.0,-70.0
175,-62.0,-77.0,-75.0,-70.0
176,-63.0,-77.0,-75.0,-70.0
177,-63.0,-77.0,-75.0,-70.0
178,-63.0,-77.0,-75.0,-70.0
179,-63.0,-77.0,-75.0,-70.0
180,-63.0,-77.0,-75.0,-67.0
181,-63.0,-77.0,-75.0,-67.0
182,-65.0,-77.0,-75.0,-67.0
183,-65.0,-77.0,-75.0,-68.0
184,-65.0,-77.0,-75.0,-68.0
185,-64.0,-77.0,-75.0,-68.0
186,-64.0,-77.0,-75.0,-68.0
187,-64.0,-77.0,-75.0,-68.0
188,-63.0,-77.0,-75.0,-68.0
189,-63.0,-77.0,-75.0,-69.0
190,-63.0,-77.0,-75.0,-69.0
191,-64.0,-77.0,-75.0,-69.0
192,-64.0,-77.0,-75.0,-69.0
193,-64.0,-77.0,-75.0,-69.0
194,-63.0,-77.0,-75.0,-69.0
195,-63.0,-77.0,-75.0,-69.0
196,-63.0,-77.0,-75.0,-69.0
197,-63.0,-77.0,-75.0,-69.0
198,-63.0,-77.0,-75.0,-69.0
199,-63.0,-77.0,-75.0,-69.0
200,-63.0,-77.0,-75.0,-69.0
201,-63.0,-77.0,-75.0,-71.0
202,-63.5,-77.0,-75.0,-71.0
203,-64.0,-77.0,-75.0,-71.0
204,-64.0,-77.0,-75.0,-71.0
205,-63.0,-77.0,-75.0,-71.0
206,-63.0,-77.0,-75.0,-71.0
207,-63.0,-77.0,-75.0,-71.0
208,-63.0,-77.0,-75.0,-71.0
209,-63.5,-77.0,-75.0,-71.0
210,-64.0,-77.0,-75.0,-69.0
211,-64.0,-77.0,-75.0,-69.0
212,-64.0,-77.0,-75.0,-69.0
213,-64.0,-77.0,-75.0,-69.0
214,-64.0,-77.0,-75.0,-69.0
215,-63.0,-77.0,-75.0,-71.0
216,-63.0,-74.0,-75.0,-71.0
217,-63.0,-74.0,-75.0,-71.0
218,-57.0,-74.0,-75.0,-71.0
219,-57.0,-74.0,-75.0,-71.0
220,-57.0,-74.0,-76.0,-71.0
221,-57.0,-74.0,-76.0,-70.5
222,-57.0,-74.0,-76.0,-70.0
223,-57.0,-74.0,-77.0,-71.0
224,-58.0,-74.0,-77.0,-71.0
225,-58.0,-74.0,-77.0,-71.0
226,-56.0,-74.0,-76.0,-70.0
227,-56.0,-74.5,-76.0,-69.0
228,-56.0,-75.0,-79.0,-69.0
229,-56.0,-75.0,-79.0,-70.0
230,-56.0,-74.0,-79.0,-70.0
231,-56.0,-74.0,-77.0,-70.0
232,-56.0,-74.0,-77.0,-69.5
233,-56.0,-73.0,-77.0,-69.0
