IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc),[NR5G] [RF] RSRP
1,1,,,-121.9314830,47.5244923,2026-01-26 23:29:50.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connected,-70.000000,,,,,,,
2,1,,,-121.9314830,47.5244923,2026-01-26 23:29:51.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
3,1,,,-121.9314830,47.5244923,2026-01-26 23:29:52.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
4,1,,,-121.9314830,47.5244923,2026-01-26 23:29:53.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-72.000000,5180,103,,,,IWLAN,-113.760000
5,1,,,-121.9314830,47.5244923,2026-01-26 23:29:54.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,103,,,,IWLAN,
6,1,,,-121.9314830,47.5244923,2026-01-26 23:29:55.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-72.000000,5180,103,,,,IWLAN,-108.650000
7,1,,,-121.9314830,47.5244923,2026-01-26 23:29:56.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-68.000000,5180,108,,,,IWLAN,
8,1,,,-121.9314830,47.5244923,2026-01-26 23:29:57.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-68.000000,5180,108,,,,IWLAN,
9,1,,,-121.9314830,47.5244923,2026-01-26 23:29:58.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-68.000000,5180,108,,,,IWLAN,-110.660000
10,1,,,-121.9314830,47.5244923,2026-01-26 23:29:59.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,108,,,,IWLAN,
11,1,,,-121.9314830,47.5244923,2026-01-26 23:29:59.968,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,,,,,,,,,,,,,
12,1,,,-121.9314830,47.5244923,2026-01-26 23:29:59.968,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,,,,,,,,,,,,,
13,1,,,-121.9314830,47.5244923,2026-01-26 23:29:59.984,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,,,,,,,,,,,,,
14,1,,,-121.9314830,47.5244923,2026-01-26 23:30:00.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,On,Connected,-72.000000,5180,108,,,,IWLAN,-114.360000
15,1,,,-121.9314830,47.5244923,2026-01-26 23:30:01.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,108,,,,IWLAN,
16,1,,,-121.9314830,47.5244923,2026-01-26 23:30:01.876,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,,,,,,,,,,,,,
17,1,,,-121.9314830,47.5244923,2026-01-26 23:30:02.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
18,1,,,-121.9314830,47.5244923,2026-01-26 23:30:03.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,144,,,,IWLAN,-109.480000
19,1,,,-121.9314830,47.5244923,2026-01-26 23:30:04.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
20,1,,,-121.9314830,47.5244923,2026-01-26 23:30:05.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,144,,,,IWLAN,-110.010000
21,1,,,-121.9314830,47.5244923,2026-01-26 23:30:06.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
22,1,,,-121.9314830,47.5244923,2026-01-26 23:30:07.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
23,1,,,-121.9314830,47.5244923,2026-01-26 23:30:08.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-71.000000,5180,144,,,,IWLAN,-109.000000
24,1,,,-121.9314830,47.5244923,2026-01-26 23:30:09.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-71.000000,5180,144,,,,IWLAN,
25,1,,,-121.9314830,47.5244923,2026-01-26 23:30:10.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-71.000000,5180,144,,,,IWLAN,-112.100000
26,1,,,-121.9314830,47.5244923,2026-01-26 23:30:11.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,216,,,,IWLAN,
27,1,,,-121.9314830,47.5244923,2026-01-26 23:30:12.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,216,,,,IWLAN,
28,1,,,-121.9314830,47.5244923,2026-01-26 23:30:13.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,216,,,,IWLAN,-111.600000
29,1,,,-121.9314830,47.5244923,2026-01-26 23:30:14.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-68.000000,5180,144,,,,IWLAN,
30,1,,,-121.9314830,47.5244923,2026-01-26 23:30:15.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-68.000000,5180,144,,,,IWLAN,
31,1,,,-121.9314830,47.5244923,2026-01-26 23:30:16.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-68.000000,5180,144,,,,IWLAN,-116.260000
32,1,,,-121.9314830,47.5244923,2026-01-26 23:30:17.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-69.000000,5180,144,,,,IWLAN,
33,1,,,-121.9314830,47.5244923,2026-01-26 23:30:18.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-69.000000,5180,144,,,,IWLAN,-109.640000
34,1,,,-121.9314830,47.5244923,2026-01-26 23:30:19.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-69.000000,5180,144,,,,IWLAN,
35,1,,,-121.9314830,47.5244923,2026-01-26 23:30:20.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-68.000000,5180,144,,,,IWLAN,
36,1,,,-121.9314830,47.5244923,2026-01-26 23:30:21.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-68.000000,5180,144,,,,IWLAN,-111.260000
37,1,,,-121.9314830,47.5244923,2026-01-26 23:30:22.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-68.000000,5180,144,,,,IWLAN,
38,1,,,-121.9314830,47.5244923,2026-01-26 23:30:23.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-67.000000,5180,144,,,,IWLAN,-109.830000
39,1,,,-121.9314830,47.5244923,2026-01-26 23:30:24.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-67.000000,5180,144,,,,IWLAN,
40,1,,,-121.9314830,47.5244923,2026-01-26 23:30:25.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-67.000000,5180,144,,,,IWLAN,
41,1,,,-121.9314830,47.5244923,2026-01-26 23:30:26.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,144,,,,IWLAN,-110.720000
42,1,,,-121.9314830,47.5244923,2026-01-26 23:30:27.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
43,1,,,-121.9314830,47.5244923,2026-01-26 23:30:28.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,144,,,,IWLAN,-113.030000
44,1,,,-121.9314830,47.5244923,2026-01-26 23:30:29.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
45,1,,,-121.9314830,47.5244923,2026-01-26 23:30:30.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
46,1,,,-121.9314830,47.5244923,2026-01-26 23:30:31.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,144,,,,IWLAN,-117.590000
47,1,,,-121.9314830,47.5244923,2026-01-26 23:30:32.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
48,1,,,-121.9314830,47.5244923,2026-01-26 23:30:33.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-70.000000,5180,144,,,,IWLAN,-114.140000
49,1,,,-121.9314830,47.5244923,2026-01-26 23:30:34.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-70.000000,5180,144,,,,IWLAN,
50,1,,,-121.9314830,47.5244923,2026-01-26 23:30:35.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,144,,,,IWLAN,
51,1,,,-121.9314830,47.5244923,2026-01-26 23:30:36.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-72.000000,5180,144,,,,IWLAN,-112.590000
52,1,,,-121.9314830,47.5244923,2026-01-26 23:30:37.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,144,,,,IWLAN,
53,1,,,-121.9314830,47.5244923,2026-01-26 23:30:38.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-74.000000,5180,144,,,,IWLAN,
54,1,,,-121.9314830,47.5244923,2026-01-26 23:30:39.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-74.000000,5180,144,,,,IWLAN,-115.720000
55,1,,,-121.9314830,47.5244923,2026-01-26 23:30:40.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-74.000000,5180,144,,,,IWLAN,
56,1,,,-121.9314830,47.5244923,2026-01-26 23:30:41.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-72.000000,5180,144,,,,IWLAN,-116.510000
57,1,,,-121.9314830,47.5244923,2026-01-26 23:30:42.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,144,,,,IWLAN,
58,1,,,-121.9314830,47.5244923,2026-01-26 23:30:43.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,5180,144,,,,IWLAN,
59,1,,,-121.9314830,47.5244923,2026-01-26 23:30:44.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-81.000000,5180,34,,,,NR (NR_SA),-124.420000
60,1,,,-121.9314830,47.5244923,2026-01-26 23:30:45.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-81.000000,2437,34,,,,NR (NR_SA),-121.640000
61,1,,,-121.9314830,47.5244923,2026-01-26 23:30:46.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-81.000000,2437,34,,,,NR (NR_SA),-120.820000
62,1,,,-121.9314830,47.5244923,2026-01-26 23:30:47.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-56.000000,2437,34,,,,NR (NR_SA),-118.270000
63,1,,,-121.9314830,47.5244923,2026-01-26 23:30:48.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-56.000000,2437,34,,,,NR (NR_SA),-117.700000
64,1,,,-121.9314830,47.5244923,2026-01-26 23:30:49.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-56.000000,2437,34,,,,NR (NR_SA),-117.380000
65,1,,,-121.9314830,47.5244923,2026-01-26 23:30:50.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-53.000000,2437,34,,,,NR (NR_SA),-117.640000
66,1,,,-121.9314830,47.5244923,2026-01-26 23:30:51.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-53.000000,2437,34,,,,NR (NR_SA),-116.970000
67,1,,,-121.9314830,47.5244923,2026-01-26 23:30:52.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-53.000000,2437,34,,,,NR (NR_SA),-117.360000
68,1,,,-121.9314830,47.5244923,2026-01-26 23:30:53.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-60.000000,2437,25,,,,NR (NR_SA),-116.830000
69,1,,,-121.9314830,47.5244923,2026-01-26 23:30:54.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-60.000000,2437,25,,,,IWLAN,-116.490000
70,1,,,-121.9314830,47.5244923,2026-01-26 23:30:55.000,_20260126_152946_CH01_TMO_5GNR_WFC_DUT_TC-175-R1.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Connected,-60.000000,2437,25,,,,IWLAN,-117.150000
