[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.670000,-0.300000,,,,,,,,,100.499,,,147.254000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.100000,-0.620000,,,,,,,,,143.112,,,58.073000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.880000,-0.740000,,,,,,,,,40.230,,,115.752000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.740000,-0.960000,,,,,,,,,120.165,,,25.165000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.110000,-2.240000,,,,,,,,,31.177,,,98.855000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.250000,-2.020000,,,,,,,,,84.713,,,143.075000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.960000,-2.160000,,,,,,,,,132.253,,,129.896000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.390000,-2.050000,,,,,,,,,133.247,,,93.654000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.200000,-0.660000,,,,,,,,,87.716,,,93.791000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.820000,-2.220000,,,,,,,,,86.701,,,78.885000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.350000,-0.830000,,,,,,,,,78.044,,,118.658000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.580000,-1.540000,,,,,,,,,114.714,,,142.727000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.590000,0.790000,,,,,,,,,136.072,,,120.002000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.370000,0.640000,,,,,,,,,109.811,,,141.333000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.800000,1.730000,,,,,,,,,123.639,,,110.805000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.080000,1.730000,,,,,,,,,116.969,,,112.975000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.090000,1.660000,,,,,,,,,105.074,,,91.299000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.600000,1.000000,,,,,,,,,87.599,,,111.038000,
