_20260128_213819_CH01_DUT_TMO-SA_HPUE PC3_NJ NY_,_20260128_213819_CH02_DUT_TMO-SA_HPUE PC2_NJ NY_
1.8,-5.1
3.9,-5.5
7.9,-4.7
4.7,-4.5
5.0,-5.2
6.0,-5.4
8.9,-4.7
7.1,-5.4
-4.0,-3.6
-5.4,-0.9
-5.9,-1.0
-7.2,0.7
-7.0,1.2
-4.0,-0.5
-2.0,-2.0
-5.5,-5.0
-5.0,-1.5
-0.6,0.5
1.0,3.6
-1.3,1.5
-0.6,1.8
-0.7,2.5
-2.1,4.1
-0.2,5.1
0.6,4.2
-2.0,2.7
-1.7,1.0
-4.8,-0.2
-1.2,-3.0
-4.0,-0.8
-4.9,-2.8
-7.1,-7.4
-9.2,-6.2
-8.3,-3.0
-4.2,0.4
-9.6,2.2
-10.4,0.1
-7.0,0.9
-1.6,0.8
-2.2,-2.0
-6.9,1.6
-7.9,2.9
-6.5,-2.5
-6.5,-3.5
-3.1,0.1
-2.5,1.0
-3.6,-0.8
-2.7,0.3
-0.7,1.8
2.6,2.2
0.6,2.6
1.7,3.3
2.0,2.5
3.3,5.3
0.4,3.9
2.0,3.0
2.0,4.5
0.5,4.5
2.2,5.6
2.2,4.2
3.7,7.4
3.0,5.8
2.7,6.5
2.8,7.1
5.5,7.7
1.3,5.4
-0.5,3.8
-1.5,2.7
-0.6,3.9
2.3,5.7
1.6,2.8
6.7,2.5
5.2,6.7
4.0,16.0
7.4,12.2
6.5,8.9
9.0,9.0
11.1,15.3
15.2,15.8
13.5,12.8
13.0,15.3
16.0,16.7
15.7,15.4
10.6,12.0
10.5,11.0
11.8,12.9
11.0,13.3
12.8,13.1
16.0,10.2
13.2,10.8
20.0,11.4
18.2,9.4
20.0,9.0
18.0,10.3
19.9,11.3
19.7,14.0
18.3,14.0
15.9,14.6
17.0,16.7
18.0,17.5
19.5,18.8
20.0,20.0
20.0,20.0
