_20260128_212646_CH01_DUT_TMO-SA_HPUE PC3_NJ NY_,_20260128_212646_CH02_DUT_TMO-SA_HPUE PC2_NJ NY_
-15.8,-3.0
-8.3,-3.3
-4.3,-1.8
-7.6,-4.7
-7.1,-4.2
-8.1,-15.0
-10.5,-11.8
-13.9,-2.0
-8.1,-6.2
-6.7,-11.0
-11.8,-10.4
-13.3,-4.7
-13.2,-6.7
-7.8,-5.0
-6.0,-0.5
-7.8,-1.8
-1.8,1.2
-4.7,1.1
-10.3,-1.8
-5.8,0.9
-8.5,0.3
-10.4,3.7
-7.4,0.8
-4.6,-2.8
-4.0,-8.0
-2.3,-8.8
1.6,-6.0
-2.9,-0.8
-5.4,1.5
-5.1,-5.0
-3.6,1.3
1.0,4.9
1.2,10.5
2.3,11.0
2.6,13.9
1.8,3.6
0.9,9.5
3.5,8.8
2.1,10.8
1.7,13.2
2.1,11.4
3.8,7.2
1.9,9.0
2.3,10.2
1.0,5.2
-0.4,-2.0
-1.6,-4.4
-3.6,-4.5
-0.7,-7.0
1.0,-4.6
-0.2,2.2
-2.0,6.5
-2.2,10.7
-3.1,5.8
-3.8,4.4
-1.5,7.2
1.0,6.1
1.4,-2.4
0.9,8.6
1.7,-1.6
2.4,0.7
2.2,-2.5
2.3,-0.5
-0.8,3.2
1.6,-1.3
-0.5,-2.4
1.0,3.0
2.0,1.2
2.0,3.2
2.0,1.5
2.7,0.5
4.0,12.9
8.4,19.4
9.2,20.0
13.0,6.3
7.0,14.5
7.0,11.0
8.0,4.5
8.0,3.5
13.0,3.4
10.7,5.1
13.9,8.9
10.0,1.6
12.5,0.7
10.8,-0.6
10.0,1.0
12.0,1.6
12.0,1.6
10.7,4.3
10.0,6.0
11.0,9.0
12.0,7.0
13.5,7.3
12.3,7.5
12.7,12.0
11.8,10.0
14.0,7.0
15.5,15.0
17.3,18.0
16.0,12.8
18.0,14.0
16.6,17.3
17.7,13.9
18.8,12.0
16.6,13.1
15.7,12.2
16.6,14.4
17.6,11.3
16.4,14.4
16.3,16.0
17.3,15.5
19.0,13.0
17.5,10.5
19.0,9.0
19.0,10.0
18.0,16.0
19.0,15.0
18.2,18.6
19.0,19.0
19.0,19.2
18.2,19.0
19.0,18.8
19.0,18.6
19.0,18.4
17.0,19.5
19.0,20.0
19.0,20.0
18.7,20.0
19.0,20.0
