DUT,REF
-2.4,15.0
-1.8,15.7
-2.2,15.4
-1.5,16.3
-1.8,14.6
-0.5,10.2
5.6,7.7
10.4,11.1
7.3,16.0
3.9,16.1
5.9,11.6
10.4,13.8
4.1,15.4
6.2,14.3
4.6,10.6
6.5,2.9
9.8,5.3
9.7,10.0
8.9,7.7
5.8,6.7
5.7,6.6
4.6,5.9
4.4,6.4
6.5,6.5
8.0,8.5
7.2,11.8
9.1,12.7
13.0,13.9
13.8,13.8
12.6,14.6
14.2,15.3
17.2,16.5
17.3,18.1
17.3,18.1
17.4,18.3
17.8,18.0
17.6,18.4
17.7,18.4
17.5,18.3
18.1,18.5
18.5,18.5
18.4,18.4
18.4,18.5
18.5,18.6
18.5,18.4
18.5,18.6
18.5,18.6
18.5,18.5
18.6,18.6
18.7,18.6
18.6,18.7
18.6,18.6
18.7,18.6
18.7,18.8
18.7,18.9
18.7,19.0
18.5,18.8
18.6,18.7
18.6,18.7
18.8,18.7
18.7,19.0
18.7,18.9
18.7,18.8
19.1,18.6
18.9,19.1
18.8,19.0
18.7,19.2
18.7,19.0
18.6,18.9
18.7,19.1
19.0,19.1
19.1,19.3
18.9,19.6
18.9,19.2
19.4,19.4
19.3,19.6
19.2,19.5
19.4,19.6
19.2,19.6
19.1,19.5
19.0,19.4
19.3,19.2
19.2,19.1
19.1,19.5
18.9,19.4
18.8,19.4
18.9,19.3
19.0,19.2
18.9,19.5
18.9,19.4
19.0,19.5
18.8,19.4
18.8,19.5
18.8,19.5
18.8,19.3
18.8,19.0
19.0,18.8
19.3,19.0
19.3,19.3
19.4,19.5
19.4,19.7
19.5,19.7
19.6,19.7
19.7,19.8
19.4,19.8
19.4,19.8
19.7,19.8
19.8,19.8
19.9,19.9
20.0,19.8
20.1,19.8
20.3,20.2
20.5,20.5
20.4,20.7
20.3,20.9
20.7,20.8
20.9,22.0
20.7,21.7
20.9,21.8
20.5,21.9
20.1,21.2
20.1,20.7
20.2,21.6
20.1,20.9
20.0,21.4
20.0,21.3
20.2,21.6
20.1,21.0
21.4,20.5
23.0,22.6
22.9,23.0
21.5,23.0
20.5,23.0
20.1,22.7
20.1,21.5
20.1,21.6
20.0,22.4
20.1,22.9
20.0,22.8
19.9,23.0
19.8,22.9
19.7,22.9
19.8,21.8
19.8,20.5
19.8,19.6
19.7,19.5
19.7,19.5
19.8,19.6
19.9,19.6
19.7,19.3
19.9,19.6
19.8,19.8
19.8,20.2
19.9,20.4
19.9,20.0
19.9,20.4
20.0,22.1
20.0,20.4
20.0,20.0
20.0,20.0
20.0,20.1
20.0,20.0
20.0,20.1
19.8,22.7
19.9,22.7
19.8,21.1
19.9,20.0
19.9,20.0
19.8,21.3
19.9,21.6
19.8,20.0
19.8,20.0
19.7,19.9
19.7,19.7
19.7,19.9
19.9,20.2
19.8,20.7
19.8,23.0
19.8,23.0
19.9,22.9
20.0,23.0
20.0,23.0
20.1,23.0
20.3,23.0
21.5,22.9
20.4,23.0
20.4,23.0
23.0,23.0
22.8,23.0
23.0,23.0
,23.0
,23.0
