[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,902,-68.740000,17.060000,,,,,,,,,,,,,0.001,0.154
,,,N41(40),NR SA,902,-63.970000,20.320000,,,,,,,,,,,,,0.041,0.194
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-66.550000,17.610000,,,,,,,,,,,,,0.204,0.294
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.000000,17.500000,,,,,,,,,,,,,0.208,0.121
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.750000,17.920000,,,,,,,,,,,,,0.010,0.075
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.780000,17.470000,,,,,,,,,,,,,0.009,0.002
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.700000,17.040000,,,,,,,,,,,,,0.000,
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-68.280000,16.820000,,,,,,,,,,,,,0.003,0.162
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-66.700000,16.510000,,,,,,,,,,,,,0.000,0.136
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.080000,14.330000,,,,,,,,,,,,,0.534,0.651
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.990000,14.380000,,,,,,,,,,,,,117.623,1.180
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-70.910000,14.780000,,,,,,,,,,,,,106.339,1.109
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-70.310000,15.720000,,,,,,,,,,,,,3.697,0.038
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.950000,16.570000,,,,,,,,,,,,,159.021,1.171
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.370000,17.040000,,,,,,,,,,,,,135.903,0.953
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.320000,17.140000,,,,,,,,,,,,,22.533,0.541
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-67.240000,18.580000,,,,,,,,,,,,,20.535,0.919
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.320000,16.400000,,,,,,,,,,,,,108.300,0.845
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.740000,16.410000,,,,,,,,,,,,,0.570,0.505
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.660000,16.200000,,,,,,,,,,,,,0.000,
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-73.600000,14.680000,,,,,,,,,,,,,0.162,0.376
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-70.840000,16.340000,,,,,,,,,,,,,0.000,
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-69.350000,17.290000,,,,,,,,,,,,,0.015,0.144
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,902,-64.220000,20.100000,,,,,,,,,,,,,0.001,0.047
,,,N41(40),NR SA,902,-61.540000,21.680000,,,,,,,,,,,,,0.020,0.077
,,,N41(40),NR SA,902,-66.640000,19.580000,,,,,,,,,,,,,0.216,0.309
,,,N41(40),NR SA,902,-70.610000,19.900000,,,,,,,,,,,,,0.324,0.277
,,,N41(40),NR SA,902,-71.250000,19.510000,,,,,,,,,,,,,0.002,0.205
,,,N41(40),NR SA,902,-65.460000,21.510000,,,,,,,,,,,,,0.002,4.407
,,,N41(40),NR SA,902,-63.890000,21.360000,,,,,,,,,,,,,0.000,0.043
,,,N41(40),NR SA,902,-61.370000,22.030000,,,,,,,,,,,,,0.003,0.050
,,,N41(40),NR SA,902,-60.740000,22.570000,,,,,,,,,,,,,0.001,
,,,N41(40),NR SA,902,-63.890000,19.720000,,,,,,,,,,,,,0.001,0.355
,,,N41(40),NR SA,902,-66.410000,18.500000,,,,,,,,,,,,,0.000,0.218
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-64.780000,19.610000,,,,,,,,,,,,,0.455,0.548
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,902,-67.120000,17.720000,,,,,,,,,,,,,85.243,1.159
