[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N41(40)+N41(40),NR SA,67,-101.12,12.31,,,,,,,,,,,,,0.128,0.185
,,,N41(40)+N41(40),NR SA,67,-100.79,10.35,,,,,,,,,,,,,0.006,0.021
,,,N41(40)+N41(40),NR SA,67,-101,11.99,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-99.78,13.59,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-98.51,12.07,,,,,,,,,,,,,0.075,0.107
,,,N41(40)+N41(40),NR SA,67,-100.93,11.49,,,,,,,,,,,,,0,
,,,N41(40)+N41(40),NR SA,67,-98.74,11.96,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-101.19,11.23,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-103.81,9.87,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-103.03,9.12,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-102.09,10.71,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-99.84,13.05,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-103.19,9.41,,,,,,,,,,,,,0,
,,,N41(40)+N41(40),NR SA,67,-100.43,11.3,,,,,,,,,,,,,0,0.001
,,,N41(90)+N41(40),NR SA,67,-102.4,10.04,,,,,,,,,,,,,0.008,0.014
,,,N41(40),NR SA,67,-103.37,10.53,,,,,,,,,,,,,0.062,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,67,-97.34,11.83,,,,,,,,,,,,,0.001,0.008
,,,N41(40),NR SA,67,-98.39,12.51,,,,,,,,,,,,,0.021,0.05
,,,N41(40),NR SA,67,-100.26,14.18,,,,,,,,,,,,,0.08,0.153
,,,N41(40),NR SA,67,-99.95,14.57,,,,,,,,,,,,,0.396,0.361
,,,N41(40)+N41(40),NR SA,67,-95.2,15.93,,,,,,,,,,,,,15.423,0.614
,,,N41(40)+N41(40),NR SA,67,-94.48,17.65,,,,,,,,,,,,,122.467,0.885
,,,N41(40)+N41(40),NR SA,67,-93.67,15.61,,,,,,,,,,,,,181.098,1.135
,,,N41(40)+N41(40),NR SA,67,-94.62,16.78,,,,,,,,,,,,,317.236,2.165
,,,N41(40)+N41(40),NR SA,67,-97.46,14.29,,,,,,,,,,,,,293.618,1.924
,,,N41(40)+N41(40),NR SA,67,-96.02,17.94,,,,,,,,,,,,,130.736,0.903
,,,N41(40)+N41(40),NR SA,67,-95.55,14.63,,,,,,,,,,,,,0,0.002
,,,N41(40)+N41(40),NR SA,67,-98.39,12.26,,,,,,,,,,,,,0.058,0.101
,,,N41(40)+N41(40),NR SA,67,-99.61,10.6,,,,,,,,,,,,,0.121,0.226
,,,N41(40)+N41(40),NR SA,67,-100.22,13.11,,,,,,,,,,,,,0,0.007
,,,N41(40)+N41(40),NR SA,67,-99.69,12.25,,,,,,,,,,,,,0.086,0.176
,,,N41(40)+N41(40),NR SA,67,-100.37,9.82,,,,,,,,,,,,,0,0.006
,,,N41(40)+N41(40),NR SA,67,-101.02,9.77,,,,,,,,,,,,,0.072,0.19
,,,N41(40)+N41(40),NR SA,67,-100.95,9.36,,,,,,,,,,,,,0,0.007
,,,N41(40)+N41(40),NR SA,67,-95.17,17.75,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-94.68,11.13,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-96.45,11.06,,,,,,,,,,,,,0.088,0.135
,,,N41(40)+N41(40),NR SA,67,-95.12,13.44,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-95.3,10.63,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-94.49,13.89,,,,,,,,,,,,,0,
,,,N41(40)+N41(40),NR SA,67,-93.33,14.47,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-94.02,11.74,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-94.3,12.12,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-92.61,13.46,,,,,,,,,,,,,0,0.001
,,,N41(40)+N41(40),NR SA,67,-92.86,11.29,,,,,,,,,,,,,0,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,67,-98.75,16.37,,,,,,,,,,,,,0.033,0.003
,,,N41(40),NR SA,67,-101.66,13.25,,,,,,,,,,,,,0.016,0.037
,,,N41(40),NR SA,67,-100.87,16.87,,,,,,,,,,,,,0.076,0.14
,,,N41(40),NR SA,67,-101.92,14.07,,,,,,,,,,,,,0.258,0.332
,,,N41(40)+N41(40),NR SA,67,-101.02,15.32,,,,,,,,,,,,,64.303,0.837
,,,N41(40)+N41(40),NR SA,67,-100.97,11.68,,,,,,,,,,,,,170.08,1.184
,,,N41(40)+N41(40),NR SA,67,-98.6,10.43,,,,,,,,,,,,,204.883,1.512
,,,N41(40)+N41(40),NR SA,67,-101.62,12.1,,,,,,,,,,,,,181.482,1.155
,,,N41(40)+N41(40),NR SA,67,-103.52,10.46,,,,,,,,,,,,,266.21,1.733
,,,N41(40)+N41(40),NR SA,67,-104.68,12.23,,,,,,,,,,,,,140.764,1.037
,,,N41(40)+N41(40),NR SA,67,-103.02,11.75,,,,,,,,,,,,,32.891,0.275
,,,N41(40)+N41(40),NR SA,67,-102.23,13.26,,,,,,,,,,,,,0,0.002
,,,N41(40)+N41(40),NR SA,67,-101.7,13.73,,,,,,,,,,,,,0.109,0.181
,,,N41(40)+N41(40),NR SA,67,-101.57,16.58,,,,,,,,,,,,,0.133,0.209
,,,N41(40)+N41(40),NR SA,67,-98.45,14.8,,,,,,,,,,,,,0.003,0.006
,,,N41(40)+N41(40),NR SA,67,-99.15,13.99,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-100.44,12.8,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-99.71,12.73,,,,,,,,,,,,,0,0.003
,,,N41(40)+N41(40),NR SA,67,-102.96,10.48,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-105.27,8.94,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-103.92,12.73,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-102.44,10.44,,,,,,,,,,,,,0,
,,,N41(40)+N41(40),NR SA,67,-105.09,8.69,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-105.79,9.25,,,,,,,,,,,,,0.013,0.007
,,,N41(40),NR SA,67,-102.45,9.15,,,,,,,,,,,,,0.005,0.002
,,,N41(40)+N41(40),NR SA,67,-100.29,8.51,,,,,,,,,,,,,0.094,0.066
,,,N41(40)+N41(40),NR SA,67,-105.59,6.5,,,,,,,,,,,,,0,0.004
,,,N41(40)+N41(40),NR SA,67,-105.05,9.29,,,,,,,,,,,,,0.007,0.006
,,,N41(40)+N41(40),NR SA,67,-106.17,9.08,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-101.55,11.69,,,,,,,,,,,,,0,0
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,67,-99.68,13.22,,,,,,,,,,,,,0.001,0.006
,,,N41(40),NR SA,67,-99.23,13.62,,,,,,,,,,,,,0.005,0.034
,,,N41(40)+N41(40),NR SA,67,-98.17,15.76,,,,,,,,,,,,,0.159,0.155
,,,N41(40)+N41(40),NR SA,67,-97.81,15.7,,,,,,,,,,,,,0.28,0.31
,,,N41(40)+N41(40),NR SA,67,-97.03,14.18,,,,,,,,,,,,,0.202,0.249
,,,N41(40)+N41(40),NR SA,67,-96.46,13.65,,,,,,,,,,,,,168.011,1.32
,,,N41(40)+N41(40),NR SA,67,-96.79,15.43,,,,,,,,,,,,,116.051,0.8
,,,N41(40)+N41(40),NR SA,67,-96.26,16.23,,,,,,,,,,,,,252.36,1.541
,,,N41(40)+N41(40),NR SA,67,-96.64,14.31,,,,,,,,,,,,,297.149,1.973
,,,N41(40)+N41(40),NR SA,67,-97.34,14.65,,,,,,,,,,,,,230.234,1.535
,,,N41(40)+N41(40),NR SA,67,-99.25,15.19,,,,,,,,,,,,,0,
,,,N41(40)+N41(40),NR SA,67,-100.72,14.02,,,,,,,,,,,,,0.107,0.101
,,,N41(40)+N41(40),NR SA,67,-103.23,12.44,,,,,,,,,,,,,0.094,0.242
,,,N41(40)+N41(40),NR SA,67,-104.35,12.1,,,,,,,,,,,,,0.011,0.015
,,,N41(40)+N41(40),NR SA,67,-101.09,12.63,,,,,,,,,,,,,0.003,0.008
,,,N41(40)+N41(40),NR SA,67,-100.19,11.87,,,,,,,,,,,,,0.05,0.012
,,,N41(40)+N41(40),NR SA,67,-97.1,13.23,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-96.5,13.27,,,,,,,,,,,,,0,0.003
,,,N41(40)+N41(40),NR SA,67,-98.85,12.76,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-97.95,14.81,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-97.22,15.35,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-95.61,15.71,,,,,,,,,,,,,0,
,,,N41(40)+N41(40),NR SA,67,-96.2,12.82,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-95.61,11.99,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-96.07,12.03,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-96.92,13.64,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-96.38,15.27,,,,,,,,,,,,,0,0
,,,N41(40)+N41(40),NR SA,67,-96.13,13.12,,,,,,,,,,,,,0,0
,,,N41(90),NR SA,67,-96.98,14.39,,,,,,,,,,,,,0,0.001
,,,N41(90),NR SA,67,-96.37,12.92,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-97.07,18.79,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-97.84,12.35,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(90),NR SA,67,-96.37,12.65,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-99.78,8.34,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(40),NR SA,67,-100.26,11.97,,,,,,,,,,,,,0.011,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,NR SA,67,-96.38,14.58,,,,,,,,,,,,,0,0
,,,N41(40),NR SA,67,-98.1,17.41,,,,,,,,,,,,,0.014,0.048
,,,N41(40),NR SA,67,-100.6,13.51,,,,,,,,,,,,,0.102,0.169
,,,N41(40)+N41(40),NR SA,67,-100.83,13.61,,,,,,,,,,,,,0.301,0.207
,,,N41(40)+N41(40),NR SA,67,-99.06,15.73,,,,,,,,,,,,,7.502,0.596
,,,N41(40)+N41(40),NR SA,67,-98.29,18.64,,,,,,,,,,,,,99.111,0.724
,,,N41(40)+N41(40),NR SA,67,-98.08,14.88,,,,,,,,,,,,,64.041,0.445
,,,N41(40)+N41(40),NR SA,67,-98.04,16.55,,,,,,,,,,,,,176.022,1.163
,,,N41(40)+N41(40),NR SA,67,-97.71,15.16,,,,,,,,,,,,,214.145,1.511
,,,N41(40)+N41(40),NR SA,67,-97.11,15.21,,,,,,,,,,,,,367.82,2.51
,,,N41(40)+N41(40),NR SA,67,-97.55,13.15,,,,,,,,,,,,,125.332,0.961
,,,N41(40)+N41(40),NR SA,67,-96.12,14.43,,,,,,,,,,,,,0,0.005
,,,N41(40)+N41(40),NR SA,67,-96,12.85,,,,,,,,,,,,,0.115,0.172
