[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
,,,N41(x),,266,-94.2,11.44,,,,,,,,,,,,,0,
,,,N41(x),,266,-90.52,14.14,,,,,,,,,,,,,,
,,,N41(x),,266,-91.82,14.26,,,,,,,,,,,,,,
,,,N41(x),,266,-92.75,14.52,,,,,,,,,,,,,0,
,,,N41(x),,266,-92.43,16.41,,,,,,,,,,,,,,
,,,N41(x),,266,-92.57,12.62,,,,,,,,,,,,,,
,,,N41(x),,266,-92.98,13.43,,,,,,,,,,,,,0,
,,,N41(x),,266,-92.2,16.43,,,,,,,,,,,,,,
,,,N41(x),,266,-92.4,16.64,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-92.16,20.27,,,,,,,,,,,,,0,
,,,N41(x),NR SA,266,-89.2,21.66,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-88.33,21.29,,,,,,,,,,,,,0,
,,,N41(x),NR SA,266,-89.75,17.02,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-100.42,10.49,,,,,,,,,,,,,0,0.034
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-94.05,11.83,,,,,,,,,,,,,0.001,0.035
,,,N41(40),NR SA,266,-91.08,11.78,,,,,,,,,,,,,0.005,0.085
,,,N41(40),NR SA,266,-91.62,13.62,,,,,,,,,,,,,0.077,0.209
,,,N41(40),NR SA,266,-93.17,15.55,,,,,,,,,,,,,0.278,0.334
,,,N41(40),NR SA,266,-96.97,11.91,,,,,,,,,,,,,0.087,0.048
,,,N41(40),NR SA,266,-97.93,11.09,,,,,,,,,,,,,0.004,0.021
,,,N41(40),NR SA,266,-97.04,10.58,,,,,,,,,,,,,0,0.002
,,,N41(40),NR SA,266,-97.7,8.5,,,,,,,,,,,,,0,
,,,N41(40),NR SA,266,-99.31,8.24,,,,,,,,,,,,,0.004,0.001
,,,N41(40),NR SA,266,-97.69,9.94,,,,,,,,,,,,,0,0.171
,,,N41(40),NR SA,266,-97.53,9.03,,,,,,,,,,,,,0,0.001
,,,N41(40),NR SA,266,-99.98,7.91,,,,,,,,,,,,,0.197,0.969
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.53,10.28,,,,,,,,,,,,,11.58,0.893
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-102.85,11.06,,,,,,,,,,,,,175.169,1.52
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.74,9.3,,,,,,,,,,,,,172.885,2.414
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.41,8.64,,,,,,,,,,,,,75.9,0.602
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-100.46,8.54,,,,,,,,,,,,,43.1,1.115
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.2,8.15,,,,,,,,,,,,,21.383,0.267
,,,N41(40)+N71(x)+N25(x)+N41(x)+N71(x),NR SA,266,-99.28,8.07,,,,,,,,,,,,,63.778,1.002
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-97.57,11.52,,,,,,,,,,,,,45.736,0.787
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-92.96,11.91,,,,,,,,,,,,,0.116,0.421
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-96.57,9.87,,,,,,,,,,,,,0,0
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-95.71,9.55,,,,,,,,,,,,,0,0
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-95.38,9.9,,,,,,,,,,,,,0.002,0.045
,,,,NR SA,,,,,,,,,,,,,,,,0.002,0.014
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-98.57,10.54,,,,,,,,,,,,,0.001,0.044
,,,N41(40),NR SA,266,-101.55,10.49,,,,,,,,,,,,,0.004,0.066
,,,N41(40),NR SA,266,-102.18,10.4,,,,,,,,,,,,,0.106,0.221
,,,N41(40),NR SA,266,-97.99,12.2,,,,,,,,,,,,,0.336,0.288
,,,N41(40),NR SA,266,-95.07,12.89,,,,,,,,,,,,,0.02,0.081
,,,N41(40),NR SA,266,-95.56,9.79,,,,,,,,,,,,,0.004,0.094
,,,N41(40),NR SA,266,-93.65,13.15,,,,,,,,,,,,,0,
,,,N41(40),NR SA,266,-92.04,18.03,,,,,,,,,,,,,0,
,,,N41(40),NR SA,266,-96.08,12.42,,,,,,,,,,,,,0.003,0.001
,,,N41(40),NR SA,266,-99.47,10.18,,,,,,,,,,,,,0.173,0.487
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.5,13.25,,,,,,,,,,,,,10.159,0.61
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.77,12.88,,,,,,,,,,,,,206.275,1.434
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-100.78,14.56,,,,,,,,,,,,,111.028,2.159
,,,N41(40)+N71(x)+N25(x)+N41(x)+N71(x),NR SA,266,-99.96,14.2,,,,,,,,,,,,,179.481,1.376
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-97.68,15.6,,,,,,,,,,,,,0,
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-96.5,15.12,,,,,,,,,,,,,115.921,1.228
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-99.41,12.39,,,,,,,,,,,,,0.27,0.658
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-101.56,9.75,,,,,,,,,,,,,0.069,0.059
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-98.19,11.52,,,,,,,,,,,,,0,
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-95.17,14.51,,,,,,,,,,,,,0.003,0.628
,,,,NR SA,,,,,,,,,,,,,,,,0.002,0.44
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-97.54,12.12,,,,,,,,,,,,,0,
,,,N41(40),NR SA,266,-98.51,12.44,,,,,,,,,,,,,0.012,0.07
,,,N41(40),NR SA,266,-98.89,9.55,,,,,,,,,,,,,0.092,0.262
,,,N41(40),NR SA,266,-99.87,10.84,,,,,,,,,,,,,0.301,0.286
,,,N41(40),NR SA,266,-97.36,12.95,,,,,,,,,,,,,0.018,0.076
,,,N41(40),NR SA,266,-101.43,8.2,,,,,,,,,,,,,0.025,0.011
,,,N41(40),NR SA,266,-100.22,9.7,,,,,,,,,,,,,0,0.596
,,,N41(40),NR SA,266,-97.23,11.14,,,,,,,,,,,,,0.161,0.552
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.8,9.85,,,,,,,,,,,,,54.201,1.035
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.67,10.95,,,,,,,,,,,,,156.036,0.982
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.9,10.44,,,,,,,,,,,,,166.357,1.207
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.7,9.6,,,,,,,,,,,,,115.116,0.896
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.81,12.19,,,,,,,,,,,,,9.768,0.558
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.87,11.11,,,,,,,,,,,,,30.448,0.925
,,,N41(40)+N71(x)+N25(x)+N41(x)+N71(x),NR SA,266,-100.72,12.09,,,,,,,,,,,,,81.385,0.338
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-99.97,11.49,,,,,,,,,,,,,0.333,0.598
,,,N41(40)+N25(x)+N41(x)+N71(x),NR SA,266,-98.04,13.46,,,,,,,,,,,,,0.045,0.098
