[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-99.300000,12.130000,,,,,,,,,,,,,0.001,0.088
,,,N41(40),NR SA,266,-101.170000,11.990000,,,,,,,,,,,,,0.018,0.020
,,,N41(40),NR SA,266,-102.360000,8.460000,,,,,,,,,,,,,0.125,0.202
,,,N41(40),NR SA,266,-100.570000,8.060000,,,,,,,,,,,,,0.308,0.198
,,,N41(40),NR SA,266,-98.470000,10.910000,,,,,,,,,,,,,0.022,0.031
,,,N41(40),NR SA,266,-101.000000,13.680000,,,,,,,,,,,,,0.006,0.011
,,,N41(40),NR SA,266,-97.950000,12.060000,,,,,,,,,,,,,0.000,0.000
,,,N41(40),NR SA,266,-95.930000,13.170000,,,,,,,,,,,,,0.000,0.009
,,,N41(40),NR SA,266,-92.790000,14.650000,,,,,,,,,,,,,0.194,0.204
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-96.140000,14.340000,,,,,,,,,,,,,8.491,0.643
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.270000,13.190000,,,,,,,,,,,,,241.344,1.876
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-100.470000,14.300000,,,,,,,,,,,,,525.910,3.482
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-101.440000,14.080000,,,,,,,,,,,,,328.138,3.448
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.320000,8.530000,,,,,,,,,,,,,0.000,1.813
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-97.090000,10.280000,,,,,,,,,,,,,0.158,0.531
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-96.150000,14.190000,,,,,,,,,,,,,0.141,0.095
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-94.740000,12.780000,,,,,,,,,,,,,0.003,0.025
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-94.230000,15.840000,,,,,,,,,,,,,0.003,0.021
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-94.960000,16.260000,,,,,,,,,,,,,0.177,0.318
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-97.040000,13.640000,,,,,,,,,,,,,0.079,0.322
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-95.440000,13.960000,,,,,,,,,,,,,0.003,0.043
,,,,NR SA,,,,,,,,,,,,,,,,0.002,0.014
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-98.500000,13.020000,,,,,,,,,,,,,0.029,0.018
,,,N41(40),NR SA,266,-105.590000,9.300000,,,,,,,,,,,,,0.003,0.059
,,,N41(40),NR SA,266,-102.530000,9.820000,,,,,,,,,,,,,0.101,0.153
,,,N41(40),NR SA,266,-99.350000,11.430000,,,,,,,,,,,,,0.276,0.293
,,,N41(40),NR SA,266,-98.800000,10.990000,,,,,,,,,,,,,0.105,0.059
,,,N41(40),NR SA,266,-96.520000,12.830000,,,,,,,,,,,,,0.004,0.054
,,,N41(40),NR SA,266,-94.880000,15.020000,,,,,,,,,,,,,0.000,0.394
,,,N41(40),NR SA,266,-90.980000,12.380000,,,,,,,,,,,,,0.000,0.394
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.440000,12.600000,,,,,,,,,,,,,0.454,0.499
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.590000,13.570000,,,,,,,,,,,,,62.274,0.972
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.450000,12.360000,,,,,,,,,,,,,274.149,1.950
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.900000,13.660000,,,,,,,,,,,,,432.446,3.347
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.260000,14.000000,,,,,,,,,,,,,249.556,2.662
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-97.900000,13.880000,,,,,,,,,,,,,119.818,1.946
